,First Name,Last Name,School,AALS Name,AALS School,Fuzz List
512,Kenneth B.,Nunn,Univ. of Florida ,Kenneth Nunn,University of Florida Fredric G. Levin College of Law,89
513,Jide O.,Nzelibe,Northwestern ,Jide Nzelibe,Northwestern University Pritzker School of Law,89
514,Christiana,Ochoa,Ind. Maurer,Christiana Ochoa,Indiana University Maurer School of Law,100
515,Jason,Oh,U.C.L.A. ,Jason Oh,"University of California, Los Angeles School of Law",100
516,Paul,Ohm,Georgetown ,Paul Ohm,Georgetown University Law Center,100
517,Karl S.,Okamoto,Drexel ,Karl Okamoto,Drexel University Thomas R. Kline School of Law,89
518,Jennifer D.,Oliva,W. Va. Univ. ,Jennifer Oliva,Seton Hall University School of Law,90
519,Mariela,Olivares,Howard ,Mariela Olivares,Howard University School of Law,100
520,Michael A.,Olivas,Houston Law Cntr. ,Michael Olivas,University of Houston Law Center,90
521,Angela L,Onwuachi-Willig,Boston Univ. ,Angela Onwuachi-Willig,Boston University School of Law,96
522,Daniel R.,Ortiz,Univ. of Va. ,Daniel Ortiz,University of Virginia School of Law,89
523,Francesca,Ortiz,South Texas Houston ,Francesca Ortiz,South Texas College of Law Houston,100
524,J. Damian,Ortiz,John Marshall ,J. Damian Ortiz,UIC John Marshall Law School,100
525,Raquel,Ortiz,Roger Williams ,Raquel Ortiz,Roger Williams University School of Law,100
526,Janewa,Osei-Tutu,Florida Int’l ,Janewa Osei-Tutu,Florida International University College of Law,100
527,Nancy K.,Ota,Albany ,Nancy Ota,Albany Law School,86
528,Spencer,Overton,George Washington ,Spencer Overton,The George Washington University Law School,100
529,Traci,Overton,Rutgers ,Traci Overton,Rutgers Law School,100
530,"Cheryl ""Shelly”",Page,Lincoln ,Cheryl ”Shelly” Page,Lincoln Memorial University Duncan School of Law,95
531,Victoria,Palacios,Southern Methodist ,Victoria Palacios,"Southern Methodist University, Dedman School of Law",100
532,Sachin S.,Pandya,Connecticut ,Sachin Pandya,University of Connecticut School of Law,90
533,Lynnise E. Phillips,Pantin,Boston Coll. ,Lynnise Pantin,Columbia Law School,70
534,Rafael I.,Pardo,Emory ,Rafael Pardo,Emory University School of Law,89
535,Kish,Parella,Wash. & Lee ,Kish Parella,Washington and Lee University School of Law,100
536,Samir,Parikh,Lewis & Clark ,Samir Parikh,Lewis and Clark Law School,100
537,Eunice,Park,Western state ,Eunice Caussade,Florida A&M University College of Law,62
538,James J.,Park,U.C.L.A. ,James Park,"University of California, Los Angeles School of Law",87
539,Johnny C.,Parker,Tulsa ,Johnny Parker,The University of Tulsa College of Law,90
540,Radha,Pathak,Whittier ,Radha Pathak,Whittier Law School,100
541,Elizabeth Hayes,Patterson,Georgetown ,Elizabeth Patterson,Georgetown University Law Center,86
542,Alexander,Pearl,Texas Tech ,Alexander Pearl,Texas Tech University School of Law,100
543,Joyce A. McCray,Pearson,Wash. St. Louis,Joyce Pearson,Washington University in St. Louis School of Law,72
544,Kim,Pearson,Gonzaga ,Kim Pearson,Gonzaga University School of Law,100
545,Portia,Pedro,Boston Univ. ,Portia Pedro,Boston University School of Law,100
546,Destiny,Peery,Northwestern ,NA,NA,0
547,Dayla S.,Pepi,St. Mary’s ,Dayla Pepi,St. Mary's University of San Antonio School of Law,87
548,Juan F.,Perea,Loyola Chicago,Juan Perea,Loyola University Chicago School of Law,87
549,LeRoy,Pernell,Florida A&M ,LeRoy Pernell,Florida A&M University College of Law,100
550,Twila L.,Perry,Rutgers ,Twila Perry,Rutgers Law School,88
551,Govind,Persad,Denver ,Govind Persad,University of Denver Sturm College of Law,100
552,Robert W. Jr.,Piatt,St. Mary’s ,Robert Piatt,St. Mary's University of San Antonio School of Law,77
553,Tanya,Pierce,Texas A&M ,Tanya Pierce,Texas A&M University School of Law,100
554,Thiadora,Pina,Santa Clara ,Thiadora Pina,Santa Clara University School of Law,100
555,Ngai,Pindell,Nevada Las Vegas,Ngai Pindell,"University of Nevada, Las Vegas, William S. Boyd School of Law",100
556,Victoria,Plaut,UC. Berkeley ,Victoria Plaut,"University of California, Berkeley School of Law",100
557,Candice T.,Player,Northwestern ,Mack Player,Santa Clara University School of Law,64
558,Aparna,Polavarapu,South Carolina ,Aparna Polavarapu,University of South Carolina School of Law,100
559,Ileana M.,Porras,Miami ,Ileana Porras,University of Miami School of Law,90
560,Karen A.,Porter,Brooklyn ,Karen Porter,Brooklyn Law School,89
561,Deborah Waire,Post,Touro ,Deborah Pearlstein,Benjamin N. Cardozo School of Law,67
562,Catherine,Powell,Fordham ,Catherine Powell,Fordham University School of Law,100
563,Cedric Merlin,Powell,Louisville ,Cedric Powell,"University of Louisville, Louis D. Brandeis School of Law",79
564,Karen,Powell,Denver ,Karen Porter,Brooklyn Law School,75
565,Patricia H.,Powell,Denver ,Patricia Powell,University of Denver Sturm College of Law,91
566,Carla D.,Pratt,Washburn ,Carla Pratt,Washburn University School of Law,88
567,Harry G.,Prince,UC Hastings,Harry Prince,"University of California, Hastings College of the Law",89
568,Victor,Quintanilla,Ind. Maurer,Victor Quintanilla,Indiana University Maurer School of Law,100
569,Intisar A.,Rabb,Harvard ,Intisar Rabb,Harvard Law School,89
570,K. Sabeel,Rahman,Brooklyn ,K. Sabeel Rahman,Brooklyn Law School,100
571,Gowri,Ramachandran,Southwestern ,Gowri Ramachandran,Southwestern Law School,100
572,Jean Teresa,Ramirez,San Diego ,Jean Ramirez,University of San Diego School of Law,77
573,Jorge A.,Ramirez,Texas Tech ,Jorge Ramirez,Texas Tech University School of Law,90
574,Steven A.,Ramirez,Loyola Chicago,Steven Ramirez,Loyola University Chicago School of Law,90
575,Jaya E.,Ramji-Nogales,Temple ,Jaya Ramji-Nogales,"Temple University, James E. Beasley School of Law",92
576,Andrea V,Ramos,Southwestern ,Andrea Ramos,Southwestern Law School,92
577,Vemellia R.,Randall,Dayton ,Vernellia Randall,University of Dayton School of Law,83
578,Jayesh,Rathod,American ,Jayesh Rathod,"American University, Washington College of Law",100
579,Teressa E.,Ravenell,Villanova ,Teressa Ravenell,Villanova University Charles Widger School of Law,91
580,Meshon T,Rawls,Univ. of Florida ,NA,NA,0
581,Shalini,Ray,Alabama ,Shailini George,Suffolk University Law School,62
582,Rhonda M.,Reaves,Florida A&M ,Rhonda Reaves,Florida A&M University College of Law,90
583,Trevor,Reed,Ariz. state ,Trevor Reed,Arizona State University Sandra Day O'Connor College of Law,100
584,Teresa J.,Reid,Univ. of Florida ,Teresa Reid,University of Florida Fredric G. Levin College of Law,88
585,Jennifer W.,Reynolds,Oregon ,Jennifer Reynolds,University of Oregon School of Law,92
586,Paula R.,Rhodes,Denver ,Charles Rhodes,South Texas College of Law Houston,62
587,Willy E.,Rice,St. Mary’s ,Willy Rice,St. Mary's University of San Antonio School of Law,87
588,L. Song. Cal.,Richardson,Irvine ,L. Song Richardson,"University of California, Irvine School of Law",86
589,Michelle,Rigual,New Mexico ,Michelle Rigual,University of New Mexico School of Law,100
590,Susanna K.,Ripken,Chapman ,Susanna Ripken,Chapman University Dale E. Fowler School of Law,90
591,Elbert L.,Robertson,Suffolk ,Elbert Robertson,Suffolk University Law School,91
592,Mildred W.,Robinson,Univ. of Va. ,Mildred Robinson,University of Virginia School of Law,91
593,Walter Keith,Robinson,Southern Methodist ,Walter Keith Robinson,"Southern Methodist University, Dedman School of Law",100
594,William L.,Robinson,Dist. of Columbia ,William Robinson,"University of the District of Columbia, David A. Clarke School of Law",91
595,Usha R.,Rodrigues,Georgia ,Usha Rodrigues,University of Georgia School of Law,90
596,Cristina M.,Rodriguez,Yale ,Cristina Rodriguez,Yale Law School,92
597,Eloisa C.,Rodriguez-Dod,Florida Int’l ,Eloisa Rodriguez-Dod,Florida International University College of Law,93
598,Luis E.,Rodrignez-Rivera,Puerto Rico ,NA,NA,0
599,Jeong-Ho,Rob,Columbia ,John Roberts,DePaul University College of Law,58
600,Jorge R.,Roig,Touro ,Jorge Roig,"Touro College, Jacob D. Fuchsberg Law Center",87
601,Daria,Roithmayr,Southern Cal. ,Daria Roithmayr,University of Southern California Gould School of Law,100
602,Maybell,Romero,Northern Illinois ,Maybell Romero,Northern Illinois University College of Law,100
603,Victor C.,Romero,Penn stale Law ,Victor Romero,The Pennsylvania State University – Penn State Law,90
604,Veronica S.,Root,Notre Dame ,Veronica Martinez,Notre Dame Law School,61
605,Anibal,Rosario Lebron,Howard ,NA,NA,0
606,Wendy T.,Ross,Texas Tech ,Wendy Ross,Texas Tech University School of Law,87
607,Vincent D.,Rougeau,Boston Coll. ,Vincent Rougeau,Boston College Law School,91
608,Nantiya,Ruan,Denver ,Nantiya Ruan,University of Denver Sturm College of Law,100
609,Katheryn,Russell-Brown,Univ. of Florida ,Katheryn Russell-Brown,University of Florida Fredric G. Levin College of Law,100
610,Christopher J. Jr.,Ryan,Roger Williams ,Christopher Ryan,Roger Williams University School of Law,82
611,Victoria S.,Sahani,Ariz. state ,Victoria Sahani,Arizona State University Sandra Day O'Connor College of Law,91
612,Natsu Taylor,Saito,Georgia state ,Natsu Saito,Georgia State University College of Law,76
613,Richard T.,Sakai,San Francisco ,NA,NA,0
614,Rachael E.,Salcido,McGeorge ,Rachael Salcido,"University of the Pacific, McGeorge School of Law",91
615,O.J.,Salinas,Univ. of North Car. ,O.J. Salinas,University of North Carolina School of Law,100
616,Prof S.,Salinas,Texas Southern ,Prof Salinas,Texas Southern University Thurgood Marshall School of Law,89
617,Tuan N.,Samahon,Villanova ,Tuan Samahon,Villanova University Charles Widger School of Law,89
618,Shaakirrah,Sanders,Idaho ,Shaakirrah Sanders,University of Idaho College of Law,100
619,Sarath,Sanga,Northwestern ,Sarath Sanga,Northwestern University Pritzker School of Law,100
620,Tommy,Sangchompuphen,Lincoln ,Tommy Sangchompuphen,Lincoln Memorial University Duncan School of Law,100
621,Veronica Aoki,Santarosa,Michigan ,Veronica Santarosa,The University of Michigan Law School,88
622,Michael A.,Satz,Idaho ,Michael Satz,University of Idaho College of Law,89
623,Leticia,Saucedo,UC Davis,Leticia Saucedo,"University of California, Davis, School of Law",100
624,Miguel,Schor,Drake ,Miguel Schor,Drake University Law School,100
625,Sean M.,Scott,Loyola. Los Angeles ,Sean Scott,"Loyola Law School, Los Angeles",87
626,Wendy B.,Scott,Elon ,Wendy Scott,Elon University School of Law,88
627,Judith A.,Scully,Stetson ,Judith Scully,Stetson University College of Law,90
628,Joshua,Sellers,Ariz. state ,Joshua Sellers,Arizona State University Sandra Day O'Connor College of Law,100
629,Theodore P.. Loyola,Seto,Los Angeles ,Theodore Seto,"Loyola Law School, Los Angeles",70
630,Sean B.,Seymore,Vanderbilt ,Sean Seymore,Vanderbilt University Law School,89
631,Butler D.,Shaffer,Southwestern ,Butler Shaffer,Southwestern Law School,90
632,Bijal,Shah,Ariz. state ,Bijal Shah,Arizona State University Sandra Day O'Connor College of Law,100
633,Hina,Shah,Golden Gale ,Hina Shah,Golden Gate University School of Law,100
634,Ragini N.,Shah,Suffolk ,Ragini Shah,Suffolk University Law School,88
635,Fadi,Shaheen,Rutgers ,Fadi Shaheen,Rutgers Law School,100
636,Jamelle C.,Sharpe,Illinois ,Jamelle Sharpe,University of Illinois College of Law,90
637,Anna W.,Shavers,Nebraska ,Anna Shavers,University of Nebraska College of Law,89
638,Francis X.,Shen,Minnesota ,Francis Shen,University of Minnesota Law School,89
639,Christal,Sheppard,Nebraska ,Charles Sheppard,Western State College of Law at Westcliff University,79
640,Patrick S.,Shin,Suffolk ,Patrick Shin,Suffolk University Law School,89
641,Florence B.,Shu-Acquaye,Nova Southeastern ,Florence Shu-Acquaye,Nova Southeastern University Shepard Broad College of Law,93
642,Gregory M.,Silverman,Seattle ,Gregory Silverman,Seattle University School of Law,92
643,Wenona T.,Singel,Mich state ,Wenona Singel,Michigan State University College of Law,90
644,Anika,Singh Lemar,Yale ,Anika Singh Lemar,Yale Law School,100
645,Shirin,Sinnar,Stanford ,Shirin Sinnar,Stanford Law School,100
646,Matiangai,Sirleaf,Pittsburgh ,Matiangai Sirleaf,University of Pittsburgh School of Law,100
647,Ganesh,Sitaraman,Vanderbilt ,Ganesh Sitaraman,Vanderbilt University Law School,100
648,H.T.,Smith,Florida Int’l ,H.T. Smith,Florida International University College of Law,100
649,Nareissa,Smith,North Car. Central ,Nareissa Smith,North Carolina Central University School of Law,100
650,Peggie,Smith,Wash. St. Louis,Peggie Smith,Washington University in St. Louis School of Law,100
651,Terry,Smith,DePaul ,Terry Smith,DePaul University College of Law,100
652,Daniel,Sokol,Univ. of Florida ,Daniel Sokol,University of Florida Fredric G. Levin College of Law,100
653,Gemma,Solimene,Fordham ,Gemma Solimene,Fordham University School of Law,100
654,Sarah,Song,UC Berkeley,Sarah Song,"University of California, Berkeley School of Law",100
655,Avani Mehta,Sood,UC Berkeley,Avani Sood,"University of California, Berkeley School of Law",77
656,Girardeau A.,Spann,Georgetown ,Girardeau Spann,Georgetown University Law Center,91
657,DeCarlous Y.,Spearman,Texas Southern ,DeCarlous Spearman,Texas Southern University Thurgood Marshall School of Law,92
658,A. Benjamin,Spencer,Univ. of Va. ,A. Benjamin Spencer,University of Virginia School of Law,100
659,Mai Linh,Spencer,UC. Hastings ,Mai Linh Spencer,"University of California, Hastings College of the Law",100
660,Carla,Spivack,Oklahoma City ,Carla Spivack,Oklahoma City University School of Law,100
661,Jayashri,Srikantiah,Stanford ,Jayashri Srikantiah,Stanford Law School,100
662,Daiquiri J.,Steele,Alabama ,Daiquiri Steele,University of Alabama School of Law,91
663,Michalyn,Steele,Brigham Young ,Michalyn Steele,"Brigham Young University, J. Reuben Clark Law School",100
664,Corneill A.,Stephens,Georgia state ,Corneill Stephens,Georgia State University College of Law,92
665,Randolph Noel,Stone,Univ. of Chicago ,Randolph Stone,"The University of Chicago, The Law School",85
666,Rick,Su,Buffalo ,Rick Su,University of North Carolina School of Law,100
667,Lauren,Sudeall,Georgia state ,Lauren Sudeall,Georgia State University College of Law,100
668,Robert E.,Suggs,Maryland ,Robert Suggs,University of Maryland Francis King Carey School of Law,89
669,Neel,Sukhatme,Georgetown ,Neel Sukhatme,Georgetown University Law Center,100
670,Christian Brook,Sundquist,Albany ,Christian Sundquist,Albany Law School,86
671,Victoria,Sutton,Texas Tech ,Victoria Sutton,Texas Tech University School of Law,100
672,Carol,Suzuki,New Mexico ,Carol Suzuki,University of New Mexico School of Law,100
673,Jon H.,Sylvester,Golden Gate ,Jon Sylvester,Golden Gate University School of Law,90
674,Imre S.,Szalai,Loyola New Orl.,Imre Szalai,Loyola University New Orleans College of Law,88
675,Phyllis C.,Taite,Florida A&M ,Phyllis Taite,Florida A&M University College of Law,90
676,Shauhin A.,Talesh,Cal Irvine,Shauhin Talesh,"University of California, Irvine School of Law",90
677,Yvonne A.,Tamayo,Willamette ,Yvonne Tamayo,Willamette University College of Law,90
678,Karen,Tani,UC Berkeley,Karen Tani,"University of California, Berkeley School of Law",100
679,Bonny L.,Tavares,Temple ,Bonny Tavares,"Temple University, James E. Beasley School of Law",90
680,Aaron,Taylor,St. Louis ,Aaron Taylor,Saint Louis University School of Law,100
681,Monica,Teixeira de Sousa,New England Law Boston ,Monica Teixeira de Sousa,New England Law | Boston,100
682,Joseph,Thai,Univ. of Oklahoma ,Joseph Thai,University of Oklahoma College of Law,100
683,Sherod,Thaxton,U.C.L.A. ,Sherod Thaxton,"University of California, Los Angeles School of Law",100
684,Alice M.,Thomas,Howard ,Alice Thomas,Howard University School of Law,89
685,Sherri N.,Thomas,New Mexico ,Sherri Thomas,University of New Mexico School of Law,90
686,Suja A.,Thomas,Illinois ,Suja Thomas,University of Illinois College of Law,88
687,Cassandra L.,Thomas Roberts,North Car. Central ,Cassandra Thomas Roberts,North Carolina Central University School of Law,94
688,Dana A.,Thompson,Michigan ,Dana Thompson,The University of Michigan Law School,90
689,Mikah K.,Thompson,Mo.-Kan. City ,Mikah Thompson,University of Missouri-Kansas City School of Law,90
690,Veronica T.,Thronson,Mich. State ,Veronica Thronson,Michigan State University College of Law,92
691,India,Thusi,Cal. Western ,India Thusi,California Western School of Law,100
692,Jan C.,Ting,Temple ,Jan Ting,"Temple University, James E. Beasley School of Law",84
693,Daniel P.,Tokaji,Ohio state ,Daniel Tokaji,"The Ohio State University, Michael E. Moritz College of Law",90
694,Annette,Torres,Miami ,Annette Torres,University of Miami School of Law,100
695,Arturo,Torres,Texas Tech ,Arturo Torres,Texas Tech University School of Law,100
696,Gerald.,Torres,Cornell ,Gerald Torres,Cornell Law School,96
697,Sara M.,Tracy-Ruazol,JAG ,Sara Tracy-Ruazol,The Judge Advocate General's School,92
698,Enid,Trucios-Haynes,Louisville ,Enid Trucios-Haynes,"University of Louisville, Louis D. Brandeis School of Law",100
699,Elizabeth.,Trujillo,Texas A&M ,Elizabeth Trujillo,Texas A&M University School of Law,97
700,Robert L.,Tsai,American ,Robert Tsai,"American University, Washington College of Law",88
701,Rebecca A.,Tsosie,Univ. of Ariz. ,Rebecca Tsosie,The University of Arizona James E. Rogers College of Law,90
702,Frederick,Tung,Boston Univ. ,Frederick Tung,Boston University School of Law,100
703,Andrew J.,Turner,Wisconsin ,Andrew Turner,University of Wisconsin Law School,90
704,Ronald.,Turner,Houston Law Cntr. ,Ronald Turner,University of Houston Law Center,96
705,Francisco X.,Valdes,Miami ,Francisco Valdes,University of Miami School of Law,91
706,Gloria M.,Valencia-Weber,New Mexico ,Gloria Valencia-Weber,University of New Mexico School of Law,93
707,Geiza,Vargas-Vargas,Charleston ,Geiza Vargas-Vargas,Charleston School of Law,100
708,Ozan O.,Varol,Lewis & Clark ,Ozan Varol,Lewis and Clark Law School,87
709,Lea B.,Vaughn,Wash. Seattle,Lea Vaughn,University of Washington School of Law,87
710,Yolanda,Vazquez,Cincinnati ,Yolanda Vazquez,University of Cincinnati College of Law,100
711,Sheila L.,Velez Martinez,Pittsburgh ,NA,NA,0
712,Alex,Vernon,Univ. of Detroit Mercy ,Alex Vernon,University of Detroit Mercy School of Law,100
713,Kia H.,Vernon,North Car. Central ,Kia Vernon,North Carolina Central University School of Law,87
714,Rose Cuison,Villazor,UC Davis,Rose Villazor,Rutgers Law School,79
715,Alicia,Virani,U.C.L.A. ,Alicia Virani,"University of California, Los Angeles School of Law",100
716,Manoj,Viswanathan,UC Hastings,Manoj Viswanathan,"University of California, Hastings College of the Law",100
717,Ari Ezra,Waldman,NYLS ,Ari Waldman,New York Law School,81
718,Tammi,Walker,Univ. of Ariz. ,Tammi Walker,The University of Arizona James E. Rogers College of Law,100
719,David D.,Walter,Florida Int’l ,David Walter,Florida International University College of Law,89
720,Alex L.,Wang,U.C.L.A. ,Alex Wang,"University of California, Los Angeles School of Law",86
721,Karin H.,Wang,U.C.L.A. ,Karin Wang,"University of California, Los Angeles School of Law",87
722,William K.,Wang,UC Hastings,William Wang,"University of California, Hastings College of the Law",89
723,Carl,Warren,St. Thomas-Mpls. ,Carl Warren,University of St. Thomas School of Law,100
724,Kevin K.,Washburn,Iowa ,Kevin Washburn,University of Iowa College of Law,90
725,Ka'Juel J.,Washington,Florida A&M ,Ka'Juel Washington,Florida A&M University College of Law,92
726,Melissa,Wasserman,Illinois ,Melissa Wasserman,University of Illinois College of Law,100
727,Wilbert (Will) H. Jr.,Watts,U.C.L.A. ,Wilbert (Will) Watts,"University of California, Los Angeles School of Law",85
728,L. Darnell,Weeden,Texas Southern ,L. Weeden,Texas Southern University Thurgood Marshall School of Law,69
729,Carwina. Ind.,Weng,Maurer ,Carwina Weng,Indiana University Maurer School of Law,80
730,Kaimipono D.,Wenger,Thomas Jefferson ,Kaimipono Wenger,Thomas Jefferson School of Law,91
731,Robert S.,Westley,Tulane ,Robert Westley,Tulane University Law School,90
732,Ronald E.,Wheeler,Boston Univ ,Ronald Wheeler,Boston University School of Law,90
733,John Valery,White,Nevada Las Vegas,John White,"University of Nevada, Las Vegas, William S. Boyd School of Law",74
734,Prentice L.,White,Southern Univ. ,Prentice White,Southern University Law Center,90
735,Mary Jo,Wiggins,San Diego ,Mary Jo Wiggins,University of San Diego School of Law,100
736,Stephen,Wilks,Lincoln ,Stephen Wilks,Lincoln Memorial University Duncan School of Law,100
737,Brenda,Williams,Wash. Seattle,Brenda Williams,University of Washington School of Law,100
738,Jack F.,Williams,Georgia state ,Jack Williams,Georgia State University College of Law,90
739,Kenneth A.,Williams,South Texas Houston ,Kenneth Williams,South Texas College of Law Houston,91
740,Norman R,Williams,Willamette ,Norman Williams,Willamette University College of Law,94
741,Robert A.,Williams,Jr. Univ. of Ariz.,Robert Williams,The University of Arizona James E. Rogers College of Law,91
742,Serena M.,Williams,Widener-Delaware ,Serena Williams,Widener University Delaware Law School,91
743,Catherine L.,Wilson,Nebraska ,Catherine Wilson,University of Nebraska College of Law,91
744,Darryl C.,Wilson,Stetson ,Darryl Wilson,Stetson University College of Law,90
745,Erika,Wilson,Univ. of North Car. ,Erika Wilson,University of North Carolina School of Law,100
746,Richard,Winchester,Thomas Jefferson ,Richard Winchester,Thomas Jefferson School of Law,100
747,Adrien Katherine K.,Wing,Iowa ,Adrien Katherine Wing,University of Iowa College of Law,93
748,Ruth A.,Witherspoon,Barry ,Ruth Witherspoon,Barry University Dwayne O. Andreas School of Law,91
749,Jarrod,Wong,McGeorge ,Jarrod Wong,"University of the Pacific, McGeorge School of Law",100
750,Margaret Y.,Woo,Northeastern ,Margaret Woo,Northeastern University School of Law,89
751,Patrick,Woolley,Univ. of Texas ,Patrick Woolley,The University of Texas School of Law,100
752,Patricia M..,Worthy,Howard ,Patricia Worthy,Howard University School of Law,88
753,Desmund,Wu,Wisconsin ,Desmund Wu,University of Wisconsin Law School,100
754,Frank H.,Wu,UC Hastings,Frank Wu,"University of California, Hastings College of the Law",84
755,Yesha,Yadav,Vanderbilt ,Yesha Yadav,Vanderbilt University Law School,100
756,Crystal,Yang,Harvard ,Crystal Yang,Harvard Law School,100
757,Tseming,Yang,Santa Clara ,Tseming Yang,Santa Clara University School of Law,100
758,Ruqaiijah A.,Yearby,St. Louis ,Ruqaiijah Yearby,Saint Louis University School of Law,91
759,Ellen L.,Yee,Drake ,Ellen Yee,Drake University Law School,86
760,Alfred C.,Yen,Boston Coll. ,Alfred Yen,Boston College Law School,87
761,Seval,Yildirim,Whittier ,Seval Yildirim,Whittier Law School,100
762,Dennis T.,Yokoyama,Southwestern ,Dennis Yokoyama,Southwestern Law School,91
763,Christopher S.,Yoo,Pennsylvania ,Christopher Yoo,University of Pennsylvania Law School,91
764,Kenji,Yoshino,New York Univ. ,Kenji Yoshino,New York University School of Law,100
765,Donna E.,Young,Albany ,Donna Young,Albany Law School,88
766,Peter K.,Yu,Texas A&M ,Peter Yu,Texas A&M University School of Law,84
767,Lua Kamal,Yuille,Kansas ,Lua Yuille,University of Kansas School of Law,77
768,Wentong,Zheng,Univ. of Florida ,Wentong Zheng,University of Florida Fredric G. Levin College of Law,100
769,Christine,Zuni Cruz,New Mexico ,Christine Zuni Cruz,University of New Mexico School of Law,100
