,First Name,Last Name,Title,School,School URL,School URL short,New School,New School URL,New School URL short,ID
159,Paul,Ohm,NA,"University of Colorado, Boulder",http://colorado.edu,colorado.edu,Georgetown University,http://georgetown.edu,georgetown.edu,1675
160,Dave,Owen,NA,University of Maine,http://umaine.edu,umaine.edu,"University of California, Hastings",https://www.uchastings.edu/,uchastings.edu,2636
161,Mary-Rose,Papandrea,NA,Boston College,http://bc.edu,bc.edu,"University of North Carolina, Chapel Hill",https://www.unc.edu/,unc.edu,6137
162,Dylan,Penningroth,NA,Northwestern University ,https://www.northwestern.edu/,northwestern.edu,"University of California, Berkeley",https://www.berkeley.edu/,berkeley.edu,2807
163,Scott,Pryor,NA,Regent University,http://regent.edu,regent.edu,Campbell University,http://campbell.edu,campbell.edu,3173
164,Srividhya,Ragavan,NA,"University of Oklahoma, Norman",www.ou.edu/,ou.edu,Texas A&M University,http://tamu.edu,tamu.edu,8208
165,Erin,Ryan,NA,Lewis & Clark College,https://www.lclark.edu/,lclark.edu,Florida State University,http://fsu.edu,fsu.edu,1349
166,James,Salzman,NA,Duke University,http://duke.edu,duke.edu,"University of California, Los Angeles",http://ucla.edu,ucla.edu,688
167,David,Schwartz,NA,Chicago-Kent College of Law,www.uh.edu/,uh.edu,Northwestern University,http://northwestern.edu,northwestern.edu,6280
168,Jessica,Silbey,NA,Suffolk University,http://suffolk.edu,suffolk.edu,Northeastern University,http://northeastern.edu,northeastern.edu,4784
169,Kenneth,Simons,NA,Boston University,http://bu.edu,bu.edu,"University of California, Irvine",http://uci.edu,uci.edu,8367
170,Alan O.,Sykes,NA,New York University,http://nyu.edu,nyu.edu,Stanford University,http://stanford.edu,stanford.edu,956
171,Eric,Talley,NA,"University of California, Berkeley",https://www.berkeley.edu/,berkeley.edu,Columbia University,http://columbia.edu,columbia.edu,1148
173,Peter,Yu,NA,Drake University,http://drake.edu,drake.edu,Texas A&M University,http://tamu.edu,tamu.edu,6567
174,Kathryn,Zeiler,NA,Georgetown University,http://georgetown.edu,georgetown.edu,Boston University,http://bu.edu,bu.edu,8520
175,Oren,Bar-Gill,NA,New York University,http://nyu.edu,nyu.edu,Harvard University,http://harvard.edu,harvard.edu,1470
176,Mitchell N.,Berman,NA,"University of Texas, Austin",https://www.utexas.edu/,utexas.edu,University of Pennsylvania,http://upenn.edu,upenn.edu,248
177,William,Buzbee,NA,Emory University,http://emory.edu,emory.edu,Georgetown University,http://georgetown.edu,georgetown.edu,6840
178,Jenny,Carroll,NA,Seton Hall University,http://shu.edu,shu.edu,University of Alabama,http://ua.edu,ua.edu,6876
179,Stephen,Clowney,NA,University of Kentucky,www.uky.edu/,uky.edu,"University of Arkansas, Fayetteville",https://www.uark.edu/,uark.edu,5526
180,Andrew,Coan,NA,"University of Wisconsin, Madison",https://www.wisc.edu/,wisc.edu,University of Arizona,http://arizona.edu,arizona.edu,5149
181,Jorge,Contreras,NA,American University,http://american.edu,american.edu,University of Utah,http://utah.edu,utah.edu,6269
182,Steven,Davidoff,NA,Ohio State University,http://osu.edu,osu.edu,"University of California, Berkeley",https://www.berkeley.edu/,berkeley.edu,7669
183,Dhammika,Dharmapala,NA,University of Illinois,http://illinois.edu,illinois.edu,University of Chicago,http://uchicago.edu,uchicago.edu,9081
184,Michael,Doran,NA,Georgetown University,http://georgetown.edu,georgetown.edu,University of Virginia,http://virginia.edu,virginia.edu,6857
185,Justin,Driver,NA,"University of Texas, Austin",https://www.utexas.edu/,utexas.edu,University of Chicago,http://uchicago.edu,uchicago.edu,8653
186,Lee,Epstein,NA,University of Southern California,http://usc.edu,usc.edu,"Washington University, St. Louis",https://wustl.edu/,wustl.edu,5989
187,Kimberly,Ferzan,NA,"Rutgers University, Camden",https://www.camden.rutgers.edu/,camden.rutgers.edu,University of Virginia,http://virginia.edu,virginia.edu,829
188,Michele B.,Goodwin,NA,"University of Minnesota, Twin Cities",https://twin-cities.umn.edu/,twin-cities.umn.edu,"University of California, Irvine",http://uci.edu,uci.edu,4861
189,Kaaryn,Gustafson,NA,University of Connecticut,http://uconn.edu,uconn.edu,"University of California, Irvine",http://uci.edu,uci.edu,3885
190,Emily,Hammond,NA,Wake Forest University,http://wfu.edu,wfu.edu,George Washington University,https://www.gwu.edu/,gwu.edu,3456
191,Bernard,Harcourt,NA,University of Chicago,http://uchicago.edu,uchicago.edu,Columbia University,http://columbia.edu,columbia.edu,9094
192,David,Hasen,NA,Santa Clara University,http://scu.edu,scu.edu,"University of Colorado, Boulder",http://colorado.edu,colorado.edu,805
193,Michael,Hatfield,NA,Texas Tech University,http://ttu.edu,ttu.edu,"University of Washington, Seattle",https://www.washington.edu/,washington.edu,9734
194,Christine,Hurt,NA,University of Illinois,http://illinois.edu,illinois.edu,Brigham Young University,http://byu.edu,byu.edu,8773
195,Darian,Ibrahim,NA,"University of Wisconsin, Madison",https://www.wisc.edu/,wisc.edu,College of William & Mary,https://wm.edu/,wm.edu,9939
196,Charles,Jalloh,NA,University of Pittsburgh,http://pitt.edu,pitt.edu,Florida International University,http://fiu.edu,fiu.edu,681
197,Cathleen,Kaveny,NA,University of Notre Dame,http://nd.edu,nd.edu,Boston College,http://bc.edu,bc.edu,7620
198,Andrew,Kull,NA,Boston University,http://bu.edu,bu.edu,"University of Texas, Austin",https://www.utexas.edu/,utexas.edu,8987
199,Amy,Landers,NA,"University of the Pacific, McGeorge School of Law",https://www.mcgeorge.edu/,mcgeorge.edu,Drexel University,http://drexel.edu,drexel.edu,4875
200,Jacqueline,Lipton,NA,University of Houston,www.uh.edu/,uh.edu,University of Akron,https://www.uakron.edu/,uakron.edu,2118
201,Robert,MacCoun,NA,"University of California, Berkeley",https://www.berkeley.edu/,berkeley.edu,Stanford University,http://stanford.edu,stanford.edu,8979
202,Patricia,McCoy,NA,University of Connecticut,http://uconn.edu,uconn.edu,Boston College,http://bc.edu,bc.edu,2384
203,Edward R.,Morrison,NA,University of Chicago,http://uchicago.edu,uchicago.edu,Columbia University,http://columbia.edu,columbia.edu,1863
204,Samuel,Moyn,NA,Columbia University ,https://www.columbia.edu/,columbia.edu,Harvard University,http://harvard.edu,harvard.edu,6357
205,Xuan-Thao,Nguyen,NA,Southern Methodist University,http://smu.edu,smu.edu,"Indiana University, Indianapolis",https://www.iupui.edu/,iupui.edu,8686
206,Saule,Omarova,NA,"University of North Carolina, Chapel Hill",https://www.unc.edu/,unc.edu,Cornell University,http://cornell.edu,cornell.edu,5382
207,Wendell,Pritchett,NA,"Rutgers University, Camden",https://www.camden.rutgers.edu/,camden.rutgers.edu,University of Pennsylvania,http://upenn.edu,upenn.edu,3697
208,Intisar A.,Rabb,NA,New York University,http://nyu.edu,nyu.edu,Harvard University,http://harvard.edu,harvard.edu,8644
209,Robert,Rhee,NA,University of Maryland,http://umaryland.edu,umaryland.edu,"University of Florida, Gainesville",www.ufl.edu/,ufl.edu,1524
210,L. Song,Richardson,NA,University of Iowa,https://uiowa.edu/,uiowa.edu,"University of California, Irvine",http://uci.edu,uci.edu,2780
211,Kalyani,Robbins,NA,University of Akron,https://www.uakron.edu/,uakron.edu,Florida International University,http://fiu.edu,fiu.edu,972
212,Troy,Rule,NA,University of Missouri,https://missouri.edu/,missouri.edu,Arizona State University,http://asu.edu,asu.edu,1663
213,Gregory,Shaffer,NA,"University of Minnesota, Twin Cities",https://twin-cities.umn.edu/,twin-cities.umn.edu,"University of California, Irvine",http://uci.edu,uci.edu,7154
214,David,Sklansky,NA,"University of California, Berkeley",https://www.berkeley.edu/,berkeley.edu,Stanford University,http://stanford.edu,stanford.edu,9155
215,A. Benjamin,Spencer,NA,Washington & Lee University,https://www.wlu.edu/,wlu.edu,University of Virginia,http://virginia.edu,virginia.edu,9686
216,Paul,Stancil,NA,University of Illinois,http://illinois.edu,illinois.edu,Brigham Young University,http://byu.edu,byu.edu,3417
217,Adam,Steinman,NA,Seton Hall University,http://shu.edu,shu.edu,University of Alabama,http://ua.edu,ua.edu,7683
218,Kristen,Stilt,NA,Northwestern University,http://northwestern.edu,northwestern.edu,Harvard University,http://harvard.edu,harvard.edu,1385
219,David,Studdert,NA,University of Melbourne,https://www.unimelb.edu.au/,unimelb.edu,Stanford University,http://stanford.edu,stanford.edu,5840
221,Christopher,Tomlins,NA,"University of California, Irvine",http://uci.edu,uci.edu,"University of California, Berkeley",https://www.berkeley.edu/,berkeley.edu,2329
222,Gerald,Torres,NA,"University of Texas, Austin",https://www.utexas.edu/,utexas.edu,Cornell University,http://cornell.edu,cornell.edu,5946
223,Deborah,Tuerkheimer,NA,DePaul University,http://depaul.edu,depaul.edu,Northwestern University,http://northwestern.edu,northwestern.edu,6165
224,Kenneth,Ayotte,NA,Northwestern University,http://northwestern.edu,northwestern.edu,"University of California, Berkeley",https://www.berkeley.edu/,berkeley.edu,4263
225,Teri Dobbins,Baxter,NA,Saint Louis University,http://slu.edu,slu.edu,University of Tennessee,https://www.utk.edu/,utk.edu,852
226,Andrea K.,Bjorklund,NA,"University of California, Davis",http://ucdavis.edu,ucdavis.edu,McGill University,https://www.mcgill.ca/,mcgill.ca,8972
227,Richard,Brooks,NA,Yale University,http://yale.edu,yale.edu,Columbia University,http://columbia.edu,columbia.edu,4088
228,Karen,Burke,NA,University of San Diego,http://sandiego.edu,sandiego.edu,"University of Florida, Gainesville",www.ufl.edu/,ufl.edu,4979
229,Lan,Cao,NA,College of William and Mary,http://sandiego.edu,sandiego.edu,Chapman University,http://chapman.edu,chapman.edu,5159
230,June,Carbone,NA,"University of Missouri, Kansas City",http://umkc.edu,umkc.edu,"University of Minnesota, Minneapolis-St. Paul",https://twin-cities.umn.edu/,twin-cities.umn.edu,2160
231,Paul,Caron,NA,University of Cincinnati,http://uc.edu,uc.edu,Pepperdine University,http://pepperdine.edu,pepperdine.edu,2664
232,Jim,Chen,NA,University of Louisville,louisville.edu/,uc.edu,Michigan State University,http://msu.edu,msu.edu,1126
233,Eric A.,Chiappinelli,NA,Creighton Universitiy,https://www.creighton.edu/,creighton.edu,Texas Tech University,http://ttu.edu,ttu.edu,6750
234,Luis E.,Chiesa,NA,Pace University,http://pace.edu,pace.edu,"State University of New York, Buffalo",www.buffalo.edu/,buffalo.edu,4098
235,Christine,Cimini,NA,University of Denver Sturm College of Law,https://www.law.du.edu/,law.du.edu,Vermont Law School,http://vermontlaw.edu,vermontlaw.edu,1640
236,Evan,Criddle,NA,Syracuse University,http://syr.edu,syr.edu,College of William & Mary,https://wm.edu/,wm.edu,3878
237,Jason,Czarnezki,NA,Vermont Law School,http://vermontlaw.edu,vermontlaw.edu,Pace University,http://pace.edu,pace.edu,2226
239,Richard,Delgado,NA,Seattle University,http://seattleu.edu,seattleu.edu,University of Alabama,http://ua.edu,ua.edu,4489
240,Miranda Perry,Fleischer,NA,"University of Colorado, Boulder",http://colorado.edu,colorado.edu,University of San Diego,http://sandiego.edu,sandiego.edu,4193
242,Jeanne,Fromer,NA,Fordham University,http://fordham.edu,fordham.edu,New York University,http://nyu.edu,nyu.edu,5827
243,James,Grimmelmann,NA,New York Law School,http://fordham.edu,fordham.edu,University of Maryland,http://umaryland.edu,umaryland.edu,699
244,Lenese,Herbert,NA,Albany Law School,https://www.albanylaw.edu/,albanylaw.edu,Howard University,http://howard.edu,howard.edu,9970
245,Julie,Hill,NA,University of Houston,www.uh.edu/,uh.edu,University of Alabama,http://ua.edu,ua.edu,4267
246,Adam,Hirsch,NA,Florida State University,http://fsu.edu,fsu.edu,University of San Diego,http://sandiego.edu,sandiego.edu,2172
247,Darren,Hutchinson,NA,American University,http://american.edu,american.edu,"University of Florida, Gainesville",www.ufl.edu/,ufl.edu,6660
248,Lucy,Jewel,NA,John Marshall Law School (Atlanta) ,http://american.edu,american.edu,University of Tennessee,https://www.utk.edu/,utk.edu,9980
249,Emily,Kadens,NA,"University of Texas, Austin",https://www.utexas.edu/,utexas.edu,Northwestern University,http://northwestern.edu,northwestern.edu,6461
250,Alberto,Lopez,NA,University of Richmond,http://richmond.edu,richmond.edu,University of Alabama,http://ua.edu,ua.edu,5634
251,Ruth,Mason,NA,University of Connecticut,http://uconn.edu,uconn.edu,University of Virginia,http://virginia.edu,virginia.edu,1538
252,Lesley,McAllister,NA,University of San Diego,http://sandiego.edu,sandiego.edu,"University of California, Davis",http://ucdavis.edu,ucdavis.edu,846
253,Grayson,McCouch,NA,University of San Diego,http://sandiego.edu,sandiego.edu,"University of Florida, Gainesville",www.ufl.edu/,ufl.edu,4922
254,Mathew,McCubbins,NA,University of Southern California,http://usc.edu,usc.edu,Duke University,http://duke.edu,duke.edu,2556
255,Bernadette,Meyler,NA,Cornell University,http://cornell.edu,cornell.edu,Stanford University,http://stanford.edu,stanford.edu,6239
256,Darrell,Miller,NA,University of Cincinnati,http://uc.edu,uc.edu,Duke University,http://duke.edu,duke.edu,2856
257,Susan,Morse,NA,"University of California, Hastings",https://www.uchastings.edu/,uchastings.edu,"University of Texas, Austin",https://www.utexas.edu/,utexas.edu,5913
258,Douglas,NeJaime,NA,"Loyola Law School, Los Angeles",https://www.lls.edu/,lls.edu,"University of California, Irvine",http://uci.edu,uci.edu,113
259,James,Park,NA,Brooklyn Law School,http://northwestern.edu,northwestern.edu,"University of California, Los Angeles",http://ucla.edu,ucla.edu,3273
260,Frank,Pasquale,NA,Seton Hall University,http://shu.edu,shu.edu,University of Maryland,http://umaryland.edu,umaryland.edu,7891
261,Eduardo,Penalver,NA,Cornell University,http://cornell.edu,cornell.edu,University of Chicago,http://uchicago.edu,uchicago.edu,32
262,Nathaniel,Persily,NA,Columbia University,http://columbia.edu,columbia.edu,Stanford University,http://stanford.edu,stanford.edu,8400
263,Ellen Smith,Pryor,NA,Southern Methodist University,http://smu.edu,smu.edu,University of North Texas,http://unt.edu,unt.edu,8905
264,Cristina,Rodriguez,NA,New York University,http://nyu.edu,nyu.edu,Yale University,http://yale.edu,yale.edu,8064
265,Benjamin,van Rooij,NA,University of Amsterdam,https://www.uva.nl/en,uva.nl/en.edu,"University of California, Irvine",http://uci.edu,uci.edu,3915
266,Christopher,Serkin,NA,Brooklyn Law School,http://northwestern.edu,northwestern.edu,Vanderbilt University,http://vanderbilt.edu,vanderbilt.edu,1098
267,Darien,Shanske,NA,"University of California, Hastings",https://www.uchastings.edu/,uchastings.edu,"University of California, Davis",http://ucdavis.edu,ucdavis.edu,7109
268,Matthew,Spitzer,NA,"University of Texas, Austin",https://www.utexas.edu/,utexas.edu,Northwestern University,http://northwestern.edu,northwestern.edu,6162
269,Christopher,Sprigman,NA,University of Virginia,http://virginia.edu,virginia.edu,New York University,http://nyu.edu,nyu.edu,880
270,Jean,Stefancic,NA,Seattle University,http://seattleu.edu,seattleu.edu,University of Alabama,http://ua.edu,ua.edu,2088
271,Peter,Swire,NA,Ohio State University,http://osu.edu,osu.edu,Georgia Institute of Technology,http://gatech.edu,gatech.edu,7643
272,Robin Fretwell,Wilson,NA,Washington & Lee University,https://www.wlu.edu/,wlu.edu,University of Illinois,http://illinois.edu,illinois.edu,5837
273,Matthew,Adler,NA,University of Pennsylvania,http://upenn.edu,upenn.edu,Duke University,http://duke.edu,duke.edu,9272
274,Karima,Bennoune,NA,Rutgers University at Newark,https://www.newark.rutgers.edu/,newark.rutgers.edu,"University of California, Davis",http://ucdavis.edu,ucdavis.edu,5425
275,Anu,Bradford,NA,University of Chicago,http://uchicago.edu,uchicago.edu,Columbia University,http://columbia.edu,columbia.edu,7911
276,Charles,Brower,NA,University of Mississippi,https://olemiss.edu/,olemiss.edu,Wayne State University,https://wayne.edu/,wayne.edu,865
277,Tomiko,Brown-Nagin,NA,University of Virginia,http://virginia.edu,virginia.edu,Harvard University,http://harvard.edu,harvard.edu,6713
278,Paul,Butler,NA,George Washington University,https://www.gwu.edu/,gwu.edu,Georgetown University,http://georgetown.edu,georgetown.edu,7162
279,Allison,Christians,NA,University of Wisconsin at Madison,https://www.wisc.edu/,wisc.edu,McGill University,https://www.mcgill.ca/,mcgill.ca,8088
280,Barry,Cushman,NA,University of Virginia,http://virginia.edu,virginia.edu,University of Notre Dame,http://nd.edu,nd.edu,5281
281,Scott,Dodson,NA,College of William & Mary,https://wm.edu/,wm.edu,"University of California, Hastings",https://www.uchastings.edu/,uchastings.edu,4153
282,Mary,Dudziak,NA,University of Southern California,http://usc.edu,usc.edu,Emory University,http://emory.edu,emory.edu,8185
283,Nita,Farahany,NA,Vanderbilt University,http://vanderbilt.edu,vanderbilt.edu,Duke University,http://duke.edu,duke.edu,1297
284,Bryant,Garth,NA,Southwestern Law School,https://www.swlaw.edu/,swlaw.edu,"University of California, Irvine",http://uci.edu,uci.edu,2605
285,James,Gathii,NA,Albany Law School,https://www.albanylaw.edu/,albanylaw.edu,"Loyola University, Chicago",http://luc.edu,luc.edu,5347
286,Adam,Gershowitz,NA,University of Houston,www.uh.edu/,uh.edu,College of William & Mary,https://wm.edu/,wm.edu,1244
287,Leslie,Griffin,NA,University of Houston,www.uh.edu/,uh.edu,"University of Nevada, Las Vegas",http://unlv.edu,unlv.edu,4754
288,Deborah,Hellman,NA,University of Maryland,http://umaryland.edu,umaryland.edu,University of Virginia,http://virginia.edu,virginia.edu,4257
289,Jennifer,Hendricks,NA,University of Tennessee,https://www.utk.edu/,utk.edu,"University of Colorado, Boulder",http://colorado.edu,colorado.edu,586
290,Jill,Horwitz,NA,University of Michigan,http://umich.edu,umich.edu,"University of California, Los Angeles",http://ucla.edu,ucla.edu,7499
291,Shi-Ling,Hsu,NA,University of British Columbia,https://www.ubc.ca/,ubc.ca,Florida State University,http://fsu.edu,fsu.edu,5670
292,Jody,Kraus,NA,University of Pennsylvania,http://upenn.edu,upenn.edu,Columbia University,http://columbia.edu,columbia.edu,1100
293,Francine,Lipman,NA,Chapman University,http://chapman.edu,chapman.edu,"University of Nevada, Las Vegas",http://unlv.edu,unlv.edu,8223
294,Jonathan,Lipson,NA,"University of Wisconsin, Madison",https://www.wisc.edu/,wisc.edu,Temple University,http://temple.edu,temple.edu,8230
295,Jacqueline,Lipton,NA,Case Western Reserve University,http://case.edu,case.edu,University of Houston,www.uh.edu/,uh.edu,2118
296,Thomas,Main,NA,"McGeorge School of Law, University of the Pacific",https://www.mcgeorge.edu/,mcgeorge.edu,"University of Nevada, Las Vegas",http://unlv.edu,unlv.edu,5728
297,Calvin,Massey,NA,"University of California, Hastings",https://www.uchastings.edu/,uchastings.edu,University of New Hampshire,http://unh.edu,unh.edu,4588
298,Jason,Mazzone,NA,Brooklyn Law School,http://northwestern.edu,northwestern.edu,University of Illinois,http://illinois.edu,illinois.edu,3833
299,Robert,Miller,NA,Villanova University,http://villanova.edu,villanova.edu,University of Iowa,https://uiowa.edu/,uiowa.edu,1459
300,Edward R.,Morrison,NA,Columbia University,http://columbia.edu,columbia.edu,University of Chicago,http://uchicago.edu,uchicago.edu,1863
301,Victoria,Nourse,NA,"University of Wisconsin, Madison",https://www.wisc.edu/,wisc.edu,Georgetown University,http://georgetown.edu,georgetown.edu,9064
302,Rafael,Pardo,NA,University of Washington at Seattle,https://www.washington.edu/,washington.edu,Emory University,http://emory.edu,emory.edu,9014
303,Edward,Parson,NA,University of Michigan,http://umich.edu,umich.edu,"University of California, Los Angeles",http://ucla.edu,ucla.edu,3957
304,H. Jefferson,Powell,NA,George Washington University,https://www.gwu.edu/,gwu.edu,Duke University,http://duke.edu,duke.edu,1038
305,Dana A.,Remus,NA,University of New Hampshire,http://unh.edu,unh.edu,Drexel University,http://drexel.edu,drexel.edu,9387
306,L. Song,Richardson,NA,American University,http://american.edu,american.edu,University of Iowa,https://uiowa.edu/,uiowa.edu,2780
307,Dorothy,Roberts,NA,Northwestern University,http://northwestern.edu,northwestern.edu,University of Pennsylvania,http://upenn.edu,upenn.edu,2123
308,Jim,Rossi,NA,Florida State University,http://fsu.edu,fsu.edu,Vanderbilt University,http://vanderbilt.edu,vanderbilt.edu,13
309,Adam,Samaha,NA,University of Chicago,http://uchicago.edu,uchicago.edu,New York University,http://nyu.edu,nyu.edu,7437
310,Lynn,Stout,NA,University of California at Los Angeles,www.ucla.edu/,ucla.edu,Cornell University,http://cornell.edu,cornell.edu,8860
311,Alan,Sykes,NA,Stanford University,http://stanford.edu,stanford.edu,New York University,http://nyu.edu,nyu.edu,956
312,Andrew,Taslitz,NA,Howard University,http://howard.edu,howard.edu,American University,http://american.edu,american.edu,6176
313,Amanda,Tyler,NA,George Washington University,https://www.gwu.edu/,gwu.edu,"University of California, Berkeley",https://www.berkeley.edu/,berkeley.edu,6066
314,Katharine,Van Tassel,NA,St. Thomas University (Florida) ,https://www.stu.edu/,stu.edu,University of Akron,https://www.uakron.edu/,uakron.edu,4704
315,Gideon,Yaffe,NA,University of Southern California,http://usc.edu,usc.edu,Yale University,http://yale.edu,yale.edu,555
316,Sandra,Zellmer,NA,"University of Nebraska, Lincoln",https://www.unl.edu/,unl.edu,University of Montana,http://umt.edu,umt.edu,7177
317,Stephen,Vladeck,NA,American University,http://american.edu,american.edu,"University of Texas, Austin",https://www.utexas.edu/,utexas.edu,4898
182,Steven Davidoff,Solomon,NA,Ohio State University,http://osu.edu,osu.edu,"University of California, Berkeley",https://www.berkeley.edu/,berkeley.edu,7669
240,Miranda,Perry,NA,"University of Colorado, Boulder",http://colorado.edu,colorado.edu,University of San Diego,http://sandiego.edu,sandiego.edu,4193
