,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Person,School,Type,Cited by Cases,Cited by Articles,Accessed (Past 12 Months),Cited by Articles (Past 10 Years),Cited by Articles (Past 1-2 years),ScholarCheck Rank,Average Citations per Article,Average Citations per Document,Self-Citations
0,0.0,0.0,0.0,Richard Albert,"University of Texas, Austin",number,1.0,320.0,1131.0,278.0,32.0,0.0,7.44,6.67,57.0
1,1.0,1.0,0.0,Hilary J. Allen,American University,number,0.0,68.0,382.0,68.0,21.0,0.0,6.8,6.8,0.0
2,2.0,2.0,0.0,Olufunmilayo B. Arewa,Temple University,number,0.0,356.0,824.0,285.0,32.0,0.0,17.8,16.18,30.0
3,3.0,3.0,0.0,Joshua Blank,"University of California, Irvine",number,7.0,162.0,283.0,158.0,16.0,0.0,13.5,12.46,0.0
4,4.0,4.0,0.0,William Boyd,"University of California, Los Angeles",number,0.0,144.0,283.0,137.0,33.0,0.0,24.0,13.09,8.0
5,5.0,5.0,0.0,Samuel L. Bray,University of Notre Dame,number,29.0,215.0,520.0,213.0,57.0,0.0,19.55,17.92,15.0
6,6.0,6.0,0.0,Jennifer M. Chacon,"University of California, Los Angeles",number,0.0,826.0,1828.0,768.0,90.0,0.0,29.94,22.73,0.0
7,7.0,7.0,0.0,Anupam Chander,Georgetown University,number,0.0,798.0,1706.0,503.0,49.0,0.0,31.92,21.0,0.0
8,8.0,8.0,0.0,Stewart L. Chang,"University of Nevada, Las Vegas",number,0.0,18.0,249.0,18.0,2.0,0.0,1.64,1.64,0.0
9,9.0,9.0,0.0,Jessica A. Clarke,Vanderbilt University,number,0.0,156.0,465.0,148.0,46.0,0.0,15.6,14.18,0.0
10,10.0,10.0,0.0,Frank Rudy Cooper,"University of Nevada, Las Vegas",number,0.0,375.0,661.0,300.0,26.0,0.0,25.0,22.06,0.0
11,11.0,11.0,0.0,R. Seth Davis,"University of California, Berkeley",number,0.0,161.0,368.0,112.0,30.0,0.0,14.6,28.27,0.0
12,12.0,12.0,0.0,Melissa J. Durkee,University of Georgia,number,0.0,33.0,165.0,33.0,12.0,0.0,5.5,4.71,8.0
13,13.0,13.0,0.0,Atiba R. Ellis,Marquette University,number,7.0,85.0,312.0,85.0,9.0,0.0,8.5,7.08,0.0
14,14.0,14.0,0.0,Victor Fleischer,"University of California, Irvine",number,1.0,578.0,689.0,497.0,47.0,0.0,36.12,26.27,0.0
15,15.0,15.0,0.0,David J. Franklyn,Golden Gate University,number,5.0,147.0,225.0,92.0,8.0,0.0,17.03,14.95,0.0
16,16.0,16.0,0.0,Nuno Garoupa,George Mason University,number,0.0,249.0,777.0,237.0,22.0,0.0,3.95,3.61,29.0
17,17.0,17.0,0.0,Brandon L. Garrett,Duke University,number,4.0,132.0,266.0,76.0,31.0,0.0,22.0,18.86,0.0
18,18.0,18.0,0.0,Andrew P. Gold,Brooklyn Law School,number,13.0,417.0,435.0,326.0,27.0,0.0,29.05,24.51,0.0
19,19.0,19.0,0.0,Philip T. Hackney,University of Pittsburgh,number,0.0,54.0,70.0,43.0,5.0,0.0,20.0,15.67,0.0
20,20.0,20.0,0.0,Christopher M. Holman,Drake University,number,1.0,273.0,314.0,260.0,20.0,0.0,13.65,11.87,0.0
21,21.0,21.0,0.0,Robert Jackson,New York University,number,0.0,2.0,23.0,1.0,0.0,0.0,0.29,0.25,0.0
22,22.0,22.0,0.0,Kristin Johnson,Tulane University,number,6.0,195.0,465.0,187.0,23.0,0.0,30.22,37.73,0.0
23,23.0,23.0,0.0,Michael S. Kang,Northwestern University,number,12.0,552.0,878.0,471.0,55.0,0.0,21.23,19.71,0.0
24,24.0,24.0,0.0,Orin S. Kerr,University of Southern California,number,495.0,3376.0,3070.0,2772.0,310.0,0.0,71.83,60.29,95.0
25,25.0,25.0,0.0,Eugene Kontorovich,George Mason University,number,48.0,590.0,679.0,478.0,42.0,0.0,22.69,18.44,42.0
26,26.0,26.0,0.0,Rebecca Kysar,Fordham University,number,9.0,181.0,235.0,177.0,18.0,0.0,18.1,18.1,0.0
27,27.0,27.0,0.0,Jill Wieber Lens,"University of Arkansas, Fayetteville",number,3.0,46.0,170.0,46.0,7.0,0.0,4.6,4.6,0.0
28,28.0,28.0,0.0,Suzette M. Malveaux,"University of Colorado, Boulder",number,4.0,214.0,232.0,194.0,23.0,0.0,23.14,15.29,0.0
29,29.0,29.0,0.0,David Marcus,"University of California, Los Angeles",number,6.0,436.0,417.0,392.0,67.0,0.0,22.95,20.76,23.0
30,30.0,30.0,0.0,Justin McCrary,Columbia University,number,0.0,18.0,150.0,18.0,5.0,0.0,4.5,4.5,0.0
31,31.0,31.0,0.0,Curtis J. Milhaupt,Stanford University,number,1.0,751.0,1126.0,412.0,49.0,0.0,30.04,24.23,0.0
32,32.0,32.0,0.0,Seema Mohapatra,"Indiana University, Indianapolis",number,0.0,74.0,625.0,74.0,15.0,0.0,5.69,5.69,0.0
33,33.0,33.0,0.0,Melissa Murray,New York University,number,0.0,589.0,735.0,576.0,78.0,0.0,28.05,17.85,0.0
34,34.0,34.0,0.0,Anne Joseph O'Connell,Stanford University,number,16.0,592.0,413.0,571.0,78.0,0.0,65.78,45.54,0.0
35,35.0,35.0,0.0,Leigh Z. Osofsky,"University of North Carolina, Chapel Hill",number,0.0,75.0,220.0,75.0,15.0,0.0,8.33,4.69,0.0
36,36.0,36.0,0.0,Frank Partnoy,"University of California, Berkeley",number,10.0,823.0,873.0,561.0,35.0,0.0,34.29,29.39,0.0
37,37.0,37.0,0.0,Jedediah Purdy,Columbia University,number,2.0,408.0,790.0,359.0,55.0,0.0,17.74,14.07,0.0
38,38.0,38.0,0.0,Christopher J. Roederer,University of Dayton,number,0.0,104.0,215.0,57.0,3.0,0.0,11.1,8.0,12.0
39,39.0,39.0,0.0,Hillary A. Sale,Georgetown University,number,10.0,999.0,598.0,578.0,46.0,0.0,52.58,43.43,0.0
40,40.0,40.0,0.0,Madhavi Sunder,Georgetown University,number,3.0,795.0,826.0,453.0,29.0,0.0,56.79,34.57,0.0
41,41.0,41.0,0.0,Kim Talus,Tulane University,number,0.0,6.0,26.0,5.0,0.0,0.0,0.75,0.43,0.0
42,42.0,42.0,0.0,Rose Cuison Villazor,Rutgers University,number,1.0,285.0,883.0,275.0,42.0,0.0,19.0,14.25,0.0
43,43.0,43.0,0.0,Andrew Keane Woods,University of Arizona,number,3.0,75.0,268.0,75.0,24.0,0.0,10.71,8.33,0.0
44,44.0,44.0,0.0,Kevin Woodson,University of Richmond,number,0.0,20.0,144.0,20.0,5.0,0.0,3.33,3.33,0.0
45,45.0,45.0,0.0,Ruqaiijah A. Yearby,Saint Louis University,number,0.0,2.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0
46,46.0,46.0,0.0,Sandi B. Zellmer,University of Montana,number,0.0,27.0,17.0,6.0,0.0,0.0,9.0,9.0,0.0
47,47.0,47.0,0.0,Richard Albert,"University of Texas, Austin",number,1.0,320.0,1131.0,278.0,32.0,0.0,7.44,6.67,57.0
48,48.0,48.0,0.0,Sahar F. Aziz,Rutgers University,number,0.0,129.0,585.0,116.0,25.0,0.0,7.59,6.79,0.0
49,49.0,49.0,0.0,Adam B. Badawi,"University of California, Berkeley",number,0.0,62.0,83.0,59.0,6.0,0.0,5.17,3.88,4.0
50,50.0,50.0,0.0,Shalanda Helen Baker,Northeastern University,number,0.0,28.0,234.0,28.0,2.0,0.0,11.33,11.33,0.0
51,51.0,51.0,0.0,Angela M. Banks,Arizona State University,number,0.0,125.0,315.0,122.0,11.0,0.0,9.62,5.43,0.0
52,52.0,52.0,0.0,William Boyd,"University of California, Los Angeles",number,0.0,144.0,283.0,137.0,33.0,0.0,24.0,13.09,8.0
53,53.0,53.0,0.0,Richard R. W. Brooks,New York University,number,2.0,265.0,260.0,166.0,13.0,0.0,18.93,13.95,0.0
54,54.0,54.0,0.0,Alfred L. Brophy,University of Alabama,number,5.0,531.0,879.0,283.0,16.0,0.0,11.06,6.72,0.0
55,55.0,55.0,0.0,Eleanor Marie Lawrence Brown,"Pennsylvania State University, University Park",number,0.0,106.0,379.0,52.0,6.0,0.0,13.0,37.76000000000001,0.0
56,56.0,56.0,0.0,Christopher M. Bruner,University of Georgia,number,0.0,269.0,435.0,232.0,27.0,0.0,16.81,12.81,0.0
57,57.0,57.0,0.0,Tonya M. Evans,University of New Hampshire,number,0.0,44.0,245.0,35.0,8.0,0.0,7.33,5.5,0.0
58,58.0,58.0,0.0,Catherine L. Fisk,"University of California, Berkeley",number,22.0,1093.0,791.0,633.0,71.0,0.0,61.89,39.62000000000001,0.0
59,59.0,59.0,0.0,Victor B. Flatt,University of Houston,number,0.0,273.0,250.0,183.0,8.0,0.0,8.81,7.0,0.0
60,60.0,60.0,0.0,Sheila Rose Foster,Georgetown University,number,3.0,639.0,878.0,326.0,23.0,0.0,86.6,63.96,4.0
61,61.0,61.0,0.0,Brett M. Frischmann,Villanova University,number,1.0,692.0,393.0,458.0,27.0,0.0,30.09,22.32,0.0
62,62.0,62.0,0.0,David S. Gamage,"Indiana University, Bloomington",number,4.0,257.0,310.0,246.0,35.0,0.0,19.77,16.06,27.0
63,63.0,63.0,0.0,Rachel D. Godsil,Rutgers University,number,3.0,340.0,371.0,115.0,15.0,0.0,30.91,24.29,0.0
64,64.0,64.0,0.0,Sarah C. Haan,Washington & Lee University,number,3.0,64.0,140.0,46.0,15.0,0.0,10.67,6.4,0.0
65,65.0,65.0,0.0,Sam Foster Halabi,"University of Missouri, Columbia",number,3.0,69.0,375.0,62.0,12.0,0.0,12.2,9.8,0.0
66,66.0,66.0,0.0,Woodrow Neal Hartzog,Northeastern University,number,7.0,506.0,1204.0,493.0,104.0,0.0,33.5,31.62,65.0
67,67.0,67.0,0.0,David M. Hasen,"University of Florida, Gainesville",number,2.0,106.0,136.0,72.0,9.0,0.0,7.07,6.62,4.0
68,68.0,68.0,0.0,Allison K. Hoffman,University of Pennsylvania,number,0.0,75.0,80.0,75.0,4.0,0.0,9.38,7.5,0.0
69,69.0,69.0,0.0,David Hoffman,University of Pennsylvania,number,6.0,132.0,258.0,59.0,19.0,0.0,11.0,6.29,0.0
70,70.0,70.0,0.0,Ryan T. Holte,University of Akron,number,0.0,46.0,106.0,45.0,7.0,0.0,6.57,6.57,0.0
71,71.0,71.0,0.0,Herbert Hovenkamp,University of Pennsylvania,number,146.0,3800.0,2390.0,1520.0,173.0,0.0,32.2,26.76,392.0
72,72.0,72.0,0.0,Blake Hudson,University of Houston,number,0.0,119.0,204.0,119.0,7.0,0.0,5.17,4.96,0.0
73,73.0,73.0,0.0,Lolita K. Buckner Inniss,Southern Methodist University,number,0.0,107.0,139.0,41.0,4.0,0.0,7.64,7.64,3.0
74,74.0,74.0,0.0,Orin S. Kerr,University of Southern California,number,495.0,3376.0,3070.0,2772.0,310.0,0.0,71.83,60.29,95.0
75,75.0,75.0,0.0,Kurt T. Lash,University of Richmond,number,39.0,872.0,409.0,537.0,48.0,0.0,31.14,26.42,0.0
76,76.0,76.0,0.0,Yoon-Ho Alex Lee,Northwestern University,number,0.0,55.0,100.0,52.0,12.0,0.0,6.11,5.5,0.0
77,77.0,77.0,0.0,Dayna B. Matthew,University of Virginia,number,7.0,216.0,212.0,126.0,6.0,0.0,10.29,9.0,6.0
78,78.0,78.0,0.0,Pamela Metzger,Southern Methodist University,number,23.0,143.0,118.0,114.0,9.0,0.0,17.88,17.88,7.0
79,79.0,79.0,0.0,Paul David Miller,University of Notre Dame,number,1.0,383.0,510.0,182.0,17.0,0.0,50.41,56.08,0.0
80,80.0,80.0,0.0,Nicholas A. Mirkay,University of Hawaii,number,0.0,42.0,47.0,35.0,1.0,0.0,7.0,3.82,5.0
81,81.0,81.0,0.0,Samuel Moyn,Yale University,number,0.0,20.0,559.0,20.0,9.0,0.0,2.0,1.43,0.0
82,82.0,82.0,0.0,Alexandra Natapoff,"University of California, Irvine",number,9.0,663.0,845.0,528.0,87.0,0.0,60.27,47.36,0.0
83,83.0,83.0,0.0,Douglas NeJaime,Yale University,number,15.0,834.0,920.0,810.0,141.0,0.0,39.71,30.89,0.0
84,84.0,84.0,0.0,Shu-Yi Oei,Boston College,number,4.0,93.0,363.0,89.0,24.0,0.0,6.2,5.81,0.0
85,85.0,85.0,0.0,Ruth Gana Okediji,Harvard University,number,0.0,262.0,365.0,125.0,17.0,0.0,65.09,60.06,0.0
86,86.0,86.0,0.0,David Orentlicher,"University of Nevada, Las Vegas",number,8.0,643.0,891.0,245.0,23.0,0.0,12.86,9.89,0.0
87,87.0,87.0,0.0,Frank Partnoy,"University of California, Berkeley",number,10.0,823.0,873.0,561.0,35.0,0.0,34.29,29.39,0.0
88,88.0,88.0,0.0,Alice Ristroph,Brooklyn Law School,number,1.0,436.0,448.0,405.0,45.0,0.0,24.22,21.8,0.0
89,89.0,89.0,0.0,Victoria Shannon Sahani,Arizona State University,number,0.0,14.0,361.0,14.0,6.0,0.0,7.0,4.67,1.0
90,90.0,90.0,0.0,Michael N. Simkovic,University of Southern California,number,0.0,191.0,391.0,189.0,26.0,0.0,12.73,12.73,22.0
91,91.0,91.0,0.0,Brad Snyder,Georgetown University,number,1.0,163.0,187.0,112.0,11.0,0.0,18.11,14.82,16.0
92,92.0,92.0,0.0,Kim Talus,Tulane University,number,0.0,6.0,26.0,5.0,0.0,0.0,0.75,0.43,0.0
93,93.0,93.0,0.0,Franita Tolson,University of Southern California,number,3.0,133.0,165.0,133.0,15.0,0.0,11.08,8.87,0.0
94,94.0,94.0,0.0,Rebecca Tushnet,Harvard University,number,28.0,1470.0,1371.0,1187.0,104.0,0.0,36.75,27.74,69.0
95,95.0,95.0,0.0,Ryan G. Vacca,University of New Hampshire,number,2.0,72.0,100.0,68.0,3.0,0.0,6.55,6.55,0.0
96,96.0,96.0,0.0,Urska Velikonja,Georgetown University,number,1.0,164.0,331.0,164.0,28.0,0.0,10.25,10.25,18.0
97,97.0,97.0,0.0,Rose Cuison Villazor,Rutgers University,number,1.0,285.0,883.0,275.0,42.0,0.0,19.0,14.25,0.0
98,98.0,98.0,0.0,Nancy A. Welsh,Texas A&M University,number,2.0,969.0,1009.0,567.0,26.0,0.0,24.85,17.3,6.0
99,99.0,99.0,0.0,Del Jr. Wright,"University of Missouri, Kansas City",number,0.0,8.0,22.0,8.0,0.0,0.0,2.67,2.67,0.0
100,100.0,100.0,0.0,W. Edward Afield,Georgia State University,number,0.0,21.0,42.0,20.0,1.0,0.0,3.5,3.5,0.0
101,101.0,101.0,0.0,Lisa E. Alexander,Texas A&M University,number,0.0,92.0,257.0,83.0,7.0,0.0,8.56,22.7,0.0
102,102.0,102.0,0.0,Margo A. Bagley,Emory University,number,1.0,292.0,317.0,164.0,11.0,0.0,26.55,20.86,0.0
103,103.0,103.0,0.0,Dale Carpenter,Southern Methodist University,number,9.0,395.0,219.0,216.0,22.0,0.0,24.69,15.8,6.0
104,104.0,104.0,0.0,David Fagundes,University of Houston,number,7.0,278.0,419.0,262.0,33.0,0.0,19.86,11.12,0.0
105,105.0,105.0,0.0,Joshua B. Fischman,University of Virginia,number,0.0,122.0,223.0,122.0,18.0,0.0,11.09,11.09,0.0
106,106.0,106.0,0.0,Michael D. Frakes,Duke University,number,2.0,65.0,153.0,64.0,19.0,0.0,10.36,10.36,0.0
107,107.0,107.0,0.0,Susan D. Franck,American University,number,0.0,761.0,1580.0,628.0,57.0,0.0,42.28,31.71,0.0
108,108.0,108.0,0.0,Shubha Ghosh,Syracuse University,number,1.0,651.0,886.0,318.0,18.0,0.0,9.17,7.31,0.0
109,109.0,109.0,0.0,James Grimmelman,Cornell University,number,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
110,110.0,110.0,0.0,Joanna L. Grossman,Southern Methodist University,number,16.0,540.0,598.0,383.0,34.0,0.0,23.48,18.0,26.0
111,111.0,111.0,0.0,Grant Hayden,Southern Methodist University,number,2.0,278.0,357.0,216.0,27.0,0.0,17.38,13.9,28.0
112,112.0,112.0,0.0,F. Andrew Hessick,"University of North Carolina, Chapel Hill",number,37.0,469.0,600.0,428.0,47.0,0.0,17.37,10.91,0.0
113,113.0,113.0,0.0,Carissa Byrne Hessick,"University of North Carolina, Chapel Hill",number,43.0,459.0,741.0,436.0,50.0,0.0,14.34,12.08,0.0
114,114.0,114.0,0.0,David A. Hyman,Georgetown University,number,11.0,1149.0,1120.0,593.0,38.0,0.0,19.21,14.87,0.0
115,115.0,115.0,0.0,Janine Young Kim,Chapman University,number,0.0,100.0,155.0,53.0,6.0,0.0,12.5,11.11,0.0
116,116.0,116.0,0.0,Renee Newman Knake,University of Houston,number,4.0,174.0,403.0,170.0,16.0,0.0,8.7,7.91,0.0
117,117.0,117.0,0.0,Sarah B. Lawsky,Northwestern University,number,0.0,164.0,135.0,147.0,13.0,0.0,18.22,14.91,0.0
118,118.0,118.0,0.0,Andrew C. W. Lund,Villanova University,number,2.0,72.0,121.0,68.0,5.0,0.0,7.2,6.55,12.0
119,119.0,119.0,0.0,Fatma E. Marouf,Texas A&M University,number,6.0,163.0,557.0,163.0,22.0,0.0,9.59,9.06,5.0
120,120.0,120.0,0.0,Thomas W. Mitchell,Texas A&M University,number,2.0,143.0,171.0,90.0,13.0,0.0,17.88,17.88,0.0
121,121.0,121.0,0.0,Angela Onwuachi-Willig,"University of California, Berkeley",number,5.0,720.0,1061.0,552.0,46.0,0.0,24.0,17.14,0.0
122,122.0,122.0,0.0,Jordan K. Paradise,"Loyola University, Chicago",number,0.0,137.0,233.0,120.0,15.0,0.0,7.21,5.71,0.0
123,123.0,123.0,0.0,Gregg D. Polsky,University of Georgia,number,5.0,351.0,265.0,251.0,32.0,0.0,14.04,12.54,0.0
124,124.0,124.0,0.0,Edward B. Rock,New York University,number,25.0,1679.0,684.0,790.0,79.0,0.0,64.58,57.9,35.0
125,125.0,125.0,0.0,Amy J. Schmitz,"University of Missouri, Columbia",number,7.0,461.0,450.0,362.0,29.0,0.0,18.44,15.9,67.0
126,126.0,126.0,0.0,Beth A. Simmons,University of Pennsylvania,number,0.0,177.0,424.0,131.0,16.0,0.0,35.49,34.75,0.0
127,127.0,127.0,0.0,Alex Stein,Brooklyn Law School,number,13.0,699.0,681.0,531.0,40.0,0.0,15.89,13.98,101.0
128,128.0,128.0,0.0,Elizabeth I. Trujillo,Texas A&M University,number,0.0,38.0,161.0,31.0,5.0,0.0,3.8,2.71,5.0
129,129.0,129.0,0.0,Steve Vladeck,"University of Texas, Austin",number,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0
130,130.0,130.0,0.0,Gina S. Warren,University of Houston,number,0.0,36.0,147.0,35.0,10.0,0.0,4.5,2.77,0.0
131,131.0,131.0,0.0,Melissa F. Wasserman,"University of Texas, Austin",number,5.0,216.0,275.0,209.0,39.0,0.0,60.3,31.63000000000001,0.0
132,132.0,132.0,0.0,Ellen Yaroshefsky,Hofstra University,number,5.0,371.0,475.0,249.0,20.0,0.0,24.73,15.46,0.0
133,133.0,133.0,0.0,Owen L. Anderson,"University of Texas, Austin",number,49.0,262.0,272.0,185.0,10.0,0.0,13.1,9.36,0.0
134,134.0,134.0,0.0,Ann Bartow,University of New Hampshire,number,0.0,581.0,720.0,335.0,20.0,0.0,19.37,12.91,0.0
135,135.0,135.0,0.0,Thomas E. Brennan,Harvard University,number,7.0,106.0,93.0,54.0,4.0,0.0,21.200000000000006,14.74,0.0
136,136.0,136.0,0.0,Aaron-Andrew P. Bruhl,College of William & Mary,number,13.0,391.0,323.0,358.0,36.0,0.0,19.55,16.29,0.0
137,137.0,137.0,0.0,Christopher J. Buccafusco,Cardozo Law School,number,2.0,566.0,888.0,552.0,69.0,0.0,22.64,19.52,0.0
138,138.0,138.0,0.0,Irene Calboli,Texas A&M University,number,4.0,140.0,256.0,121.0,14.0,0.0,10.77,8.24,9.0
139,139.0,139.0,0.0,William J. Dodge,"University of California, Davis",number,42.0,1013.0,799.0,543.0,65.0,0.0,36.14,27.63,46.0
140,140.0,140.0,0.0,Susan Saab Fortney,Texas A&M University,number,0.0,446.0,356.0,225.0,23.0,0.0,15.38,9.91,0.0
141,141.0,141.0,0.0,Brian Galle,Georgetown University,number,3.0,694.0,600.0,626.0,74.0,0.0,19.83,16.93,95.0
142,142.0,142.0,0.0,Nuno Garoupa,Texas A&M University,number,0.0,249.0,777.0,237.0,22.0,0.0,3.95,3.61,29.0
143,143.0,143.0,0.0,C. Scott Hemphill,New York University,number,76.0,558.0,903.0,534.0,44.0,0.0,42.92,31.0,0.0
144,144.0,144.0,0.0,Robert H. II Jerry,"University of Missouri, Columbia",number,25.0,296.0,212.0,91.0,9.0,0.0,10.21,8.0,0.0
145,145.0,145.0,0.0,Sonia K. Katyal,"University of California, Berkeley",number,4.0,507.0,943.0,403.0,27.0,0.0,51.0,48.07,0.0
146,146.0,146.0,0.0,Daniel Katz,Chicago-Kent College of Law,number,0.0,3.0,9.0,0.0,0.0,0.0,0.75,0.75,0.0
147,147.0,147.0,0.0,Charlotte Ku,Texas A&M University,number,0.0,60.0,117.0,19.0,1.0,0.0,5.45,2.14,3.0
148,148.0,148.0,0.0,Erik Luna,Arizona State University,number,42.0,1128.0,921.0,700.0,63.0,0.0,37.6,28.2,103.0
149,149.0,149.0,0.0,Glynn S. Jr. Lunney,Texas A&M University,number,2.0,1206.0,460.0,535.0,32.0,0.0,48.24,41.59,0.0
150,150.0,150.0,0.0,Timothy D. Lytton,Georgia State University,number,10.0,274.0,270.0,134.0,8.0,0.0,15.22,10.96,16.0
