Person,ID,School,Type,Cited by Cases,Cited by Articles,Accessed (Past 12 Months),Cited by Articles (Past 10 Years),Cited by Articles (Past 1-2 years),ScholarCheck Rank,Average Citations per Article,Average Citations per Document,Self-Citations
James Paul George,5349.0,Texas A&M University School of Law,number,19.0,202.0,284.0,71.0,0.0,0.0,7.77,5.77,0.0
Tracey E. George,3437.0,Vanderbilt University Law School,number,1.0,639.0,428.0,346.0,0.0,0.0,27.78,22.03,31.0
Ronald J. Gilson,9275.0,Columbia Law School,number,84.0,6156.0,3086.0,2271.0,0.0,0.0,109.93,96.19,176.0
Leonard Glantz,9519.0,Boston University School of Law,number,0.0,134.0,38.0,12.0,0.0,0.0,11.17,10.31,0.0
Susan K. Grebeldinger,2665.0,Wake Forest University School of Law,number,5.0,26.0,11.0,7.0,0.0,0.0,8.67,8.67,0.0
Hillary Greene,1239.0,University of Connecticut School of Law,number,1.0,111.0,107.0,92.0,0.0,0.0,9.25,6.53,12.0
Andy S. Grewal,4406.0,University of Iowa College of Law,number,4.0,50.0,230.0,48.0,0.0,0.0,4.55,3.85,5.0
Lissa Griffin,7287.0,Pace University Elisabeth Haub School of Law,number,23.0,186.0,318.0,108.0,0.0,0.0,13.29,12.4,0.0
Itai Grinberg,7369.0,Georgetown University Law Center,number,0.0,90.0,145.0,84.0,0.0,0.0,11.25,10.0,1.0
Dermot M. Groome,848.0,The Pennsylvania State University – Dickinson Law,number,0.0,16.0,201.0,15.0,0.0,0.0,3.2,2.67,0.0
Valerie P. Hans,9731.0,Cornell Law School,number,52.0,1138.0,1234.0,595.0,0.0,0.0,18.66,16.26,109.0
Brian F. Havel,2136.0,DePaul University College of Law,number,3.0,108.0,289.0,54.0,0.0,0.0,5.4,2.84,0.0
Paul Heald,7349.0,University of Illinois College of Law,number,14.0,895.0,547.0,371.0,0.0,0.0,24.86,21.31,57.0
Laura A. Hernandez,906.0,Baylor University School of Law,number,0.0,8.0,94.0,8.0,0.0,0.0,1.6,1.6,0.0
Robert A. Heverly,7689.0,Albany Law School,number,0.0,71.0,121.0,32.0,0.0,0.0,7.89,4.73,2.0
Frances R. Hill,0.0,University of Miami School of Law,number,6.0,112.0,80.0,64.0,0.0,0.0,7.47,7.0,14.0
Steven H. Hobbs,5687.0,University of Alabama School of Law,number,0.0,228.0,164.0,75.0,0.0,0.0,12.0,8.44,37.0
Heather Lauren Hughes,892.0,"American University, Washington College of Law",number,0.0,50.0,154.0,35.0,0.0,0.0,3.12,2.94,15.0
Helia Garrido Hull,7972.0,Barry University Dwayne O. Andreas School of Law,number,0.0,39.0,285.0,36.0,0.0,0.0,3.9,3.9,0.0
John A. Humbach,3019.0,Pace University Elisabeth Haub School of Law,number,13.0,499.0,310.0,109.0,0.0,0.0,19.19,14.26,0.0
Richard Hyland,5413.0,Rutgers Law School,number,3.0,145.0,149.0,23.0,0.0,0.0,18.12,13.18,0.0
Andrea Johnson,1607.0,University of Akron School of Law,number,1.0,6.0,1.0,5.0,0.0,0.0,0.0,6.0,0.0
Craig Joyce,4731.0,University of Houston Law Center,number,14.0,585.0,336.0,185.0,0.0,0.0,32.5,17.73,40.0
Daniel Joyner,2154.0,University of Alabama School of Law,number,0.0,73.0,190.0,46.0,0.0,0.0,6.64,4.06,4.0
David Jung,5620.0,"University of California, Hastings College of the Law",number,2.0,51.0,20.0,3.0,0.0,0.0,7.29,6.38,0.0
Mary Kay Kane,4447.0,"University of California, Hastings College of the Law",number,28.0,474.0,90.0,85.0,0.0,0.0,29.62,14.81,6.0
Lawrence B. Kessler,8751.0,Maurice A. Deane School of Law at Hofstra University,number,10.0,59.0,10.0,17.0,0.0,0.0,14.75,14.75,0.0
Laura T. Kessler,6678.0,"University of Utah, S. J. Quinney College of Law",number,0.0,292.0,319.0,205.0,0.0,0.0,24.33,19.47,25.0
Darcy Kirk,2003.0,University of Connecticut School of Law,number,0.0,2.0,23.0,2.0,0.0,0.0,2.0,0.2,0.0
Heidi Kitrosser,43.0,University of Minnesota Law School,number,0.0,423.0,624.0,345.0,0.0,0.0,15.67,13.22,0.0
Donald R. Korobkin,2609.0,Rutgers Law School,number,2.0,408.0,210.0,107.0,0.0,0.0,40.8,37.09,14.0
Herbert T. Krimmel,6136.0,Southwestern Law School,number,2.0,44.0,34.0,6.0,0.0,0.0,8.8,7.33,1.0
Peter B. Kutner,7285.0,University of Oklahoma College of Law,number,10.0,55.0,167.0,7.0,0.0,0.0,3.93,3.06,0.0
Michelle M. Kwon,5355.0,University of Tennessee College of Law,number,1.0,36.0,88.0,30.0,0.0,0.0,5.14,4.5,0.0
Corinna Barrett Lain,6007.0,The University of Richmond School of Law,number,4.0,395.0,389.0,321.0,0.0,0.0,24.69,18.81,27.0
Catherine J. Lanctot,1396.0,Villanova University Charles Widger School of Law,number,15.0,454.0,314.0,151.0,0.0,0.0,41.27,34.92,9.0
Renee M. Landers,2174.0,Suffolk University Law School,number,0.0,39.0,37.0,17.0,0.0,0.0,5.57,1.77,5.0
David J. Langum,9952.0,"Samford University, Cumberland School of Law",number,1.0,28.0,34.0,2.0,0.0,0.0,4.0,2.0,0.0
Mark Latham,1167.0,Vermont Law School,number,0.0,57.0,135.0,56.0,0.0,0.0,5.7,5.7,0.0
Robert M. Lawless,9199.0,University of Illinois College of Law,number,13.0,453.0,351.0,229.0,0.0,0.0,14.61,12.94,37.0
Benjamin M. Leff,6123.0,"American University, Washington College of Law",number,0.0,70.0,329.0,70.0,0.0,0.0,11.67,10.0,0.0
Andrew D. Leipold,9939.0,University of Illinois College of Law,number,24.0,564.0,557.0,270.0,0.0,0.0,40.29,33.18,16.0
Margaret H. Lemos,5131.0,Duke University School of Law,number,3.0,586.0,525.0,531.0,0.0,0.0,30.84,26.64,31.0
Craig S. Lerner,5099.0,Antonin Scalia Law School at George Mason University,number,15.0,318.0,493.0,215.0,0.0,0.0,15.9,12.72,31.0
Kay Levine,4203.0,Emory University School of Law,number,2.0,219.0,283.0,158.0,0.0,0.0,14.6,12.88,23.0
Nancy Levit,8333.0,University of Missouri-Kansas City School of Law,number,7.0,1148.0,989.0,473.0,0.0,0.0,33.76,22.08,0.0
Rory Little,3394.0,"University of California, Hastings College of the Law",number,13.0,479.0,599.0,195.0,0.0,0.0,20.83,15.97,25.0
Cortney E. Lollar,4458.0,University of Kentucky College of Law,number,5.0,38.0,136.0,38.0,0.0,0.0,6.33,6.33,8.0
Clark B. Lombardi,8233.0,University of Washington School of Law,number,0.0,124.0,314.0,85.0,0.0,0.0,13.78,8.86,0.0
Thomas Lyon,4426.0,University of Southern California Gould School of Law,number,20.0,151.0,172.0,57.0,0.0,0.0,12.58,10.79,3.0
Malachy T. Mahon,1134.0,Maurice A. Deane School of Law at Hofstra University,number,0.0,2.0,3.0,0.0,0.0,0.0,2.0,2.0,0.0
Laurie Malman,9621.0,New York University School of Law,number,2.0,41.0,9.0,5.0,0.0,0.0,13.67,13.67,0.0
Earl A. Maltz,8350.0,Rutgers Law School,number,51.0,2033.0,1191.0,384.0,0.0,0.0,24.2,19.55,0.0
Richard H. McAdams,9992.0,"The University of Chicago, The Law School",number,12.0,2143.0,991.0,956.0,0.0,0.0,66.97,52.27,59.0
Thomas M. McDonnell,8953.0,Pace University Elisabeth Haub School of Law,number,0.0,138.0,189.0,51.0,0.0,0.0,17.25,13.8,0.0
Judith G. McMullen,3357.0,Marquette University Law School,number,3.0,178.0,316.0,97.0,0.0,0.0,9.89,9.37,9.0
George K. Foster,9665.0,Lewis and Clark Law School,number,2.0,91.0,347.0,75.0,0.0,0.0,10.11,9.1,10.0
Peter S. Menell,8894.0,"University of California, Berkeley School of Law",number,19.0,1595.0,1155.0,909.0,0.0,0.0,33.23,27.5,122.0
William Ian Miller,212.0,The University of Michigan Law School,number,1.0,94.0,151.0,12.0,0.0,0.0,7.0200000000000005,6.22,2.0
Dalia Tsuk Mitchell,6334.0,The George Washington University Law School,number,0.0,179.0,67.0,109.0,0.0,0.0,19.89,19.89,10.0
Matthew Mitten,8017.0,Marquette University Law School,number,6.0,395.0,794.0,244.0,0.0,0.0,12.74,10.13,38.0
Mark K. Moller,5601.0,DePaul University College of Law,number,7.0,87.0,79.0,71.0,0.0,0.0,6.69,4.83,0.0
Seymour H. Moskowitz,7522.0,Valparaiso University Law School,number,4.0,315.0,216.0,123.0,0.0,0.0,23.14,19.5,0.0
Eric L. Muller,5762.0,University of North Carolina School of Law,number,30.0,401.0,202.0,169.0,0.0,0.0,20.05,14.85,19.0
Timothy M. Mulvaney,8731.0,Texas A&M University School of Law,number,0.0,87.0,103.0,84.0,0.0,0.0,6.69,6.21,0.0
Colleen Murphy,1151.0,University of Illinois College of Law,number,0.0,1.0,58.0,1.0,0.0,0.0,0.0,0.25,0.0
Eleanor W. Myers,8870.0,"Temple University, James E. Beasley School of Law",number,0.0,107.0,30.0,35.0,0.0,0.0,17.83,15.29,3.0
Thomas B. Nachbar,1572.0,University of Virginia School of Law,number,6.0,304.0,211.0,177.0,0.0,0.0,16.89,16.89,21.0
Carol A. Needham,3481.0,Saint Louis University School of Law,number,2.0,165.0,52.0,85.0,0.0,0.0,13.75,10.31,13.0
Catherine O'Grady,1756.0,The University of Arizona James E. Rogers College of Law,number,4.0,146.0,154.0,90.0,0.0,0.0,20.86,18.25,0.0
J. Thomas Oldham,5741.0,University of Houston Law Center,number,33.0,597.0,254.0,170.0,0.0,0.0,14.93,11.06,0.0
Saule Omarova,794.0,Cornell Law School,number,0.0,452.0,702.0,451.0,0.0,0.0,21.52,16.14,70.0
Spencer A. Overton,230.0,The George Washington University Law School,number,7.0,370.0,261.0,201.0,0.0,0.0,28.46,26.43,12.0
Stefan J. Padfield,1652.0,University of Akron School of Law,number,2.0,146.0,450.0,142.0,0.0,0.0,8.59,7.68,0.0
Michael S. Pardo,9272.0,University of Alabama School of Law,number,3.0,418.0,571.0,328.0,0.0,0.0,14.41,11.3,60.0
William Wesley Patton,5523.0,Whittier Law School,number,25.0,335.0,327.0,101.0,0.0,0.0,60.62,33.55,0.0
Katherine C. Pearson,7301.0,The Pennsylvania State University – Dickinson Law,number,5.0,76.0,44.0,44.0,0.0,0.0,5.85,5.07,6.0
Thomas E. Plank,6030.0,University of Tennessee College of Law,number,35.0,482.0,216.0,223.0,0.0,0.0,20.08,18.54,0.0
Daniel R. Polsby,8411.0,Antonin Scalia Law School at George Mason University,number,19.0,745.0,411.0,129.0,0.0,0.0,24.57,27.39,11.0
Kate E. Bloch,4789.0,"University of California, Hastings College of the Law",number,3.0,107.0,206.0,44.0,0.0,0.0,8.92,7.13,3.0
David Pratt,5568.0,Albany Law School,number,3.0,112.0,206.0,76.0,0.0,0.0,4.31,3.03,5.0
W. Nicholson II Price,7074.0,The University of Michigan Law School,number,0.0,194.0,819.0,192.0,0.0,0.0,11.41,10.78,33.0
Bruce M. Price,9866.0,University of San Francisco School of Law,number,6.0,37.0,21.0,30.0,0.0,0.0,7.4,6.17,0.0
Amanda C. Pustilnik,1575.0,University of Maryland Francis King Carey School of Law,number,1.0,104.0,299.0,94.0,0.0,0.0,20.8,13.0,0.0
Robert A. Ragazzo,7229.0,University of Houston Law Center,number,23.0,234.0,70.0,45.0,0.0,0.0,33.43,26.0,0.0
Carolyn B. Ramsey,723.0,University of Colorado Law School,number,11.0,217.0,434.0,144.0,0.0,0.0,18.08,13.56,0.0
Alan Rau,5059.0,The University of Texas School of Law,number,3.0,276.0,191.0,124.0,0.0,0.0,21.23,19.71,16.0
Jerome H. Reichman,1124.0,Duke University School of Law,number,5.0,2346.0,988.0,761.0,0.0,0.0,67.03,53.32,218.0
Glenn H. Reynolds,1350.0,University of Tennessee College of Law,number,38.0,1385.0,975.0,533.0,0.0,0.0,26.63,18.72,180.0
Jesse J. Jr. Richardson,6029.0,West Virginia University College of Law,number,1.0,85.0,90.0,52.0,0.0,0.0,7.08,6.54,0.0
Alasdair Roberts,6421.0,Suffolk University Law School,number,0.0,13.0,75.0,9.0,0.0,0.0,2.17,1.62,0.0
Zoe Robinson,3612.0,DePaul University College of Law,number,1.0,107.0,328.0,107.0,0.0,0.0,10.7,10.7,7.0
Kimberly Jenkins Robinson,1302.0,University of Virginia School of Law,number,0.0,188.0,215.0,176.0,0.0,0.0,23.5,20.89,19.0
Peter K. Rofes,1640.0,Marquette University Law School,number,0.0,55.0,15.0,6.0,0.0,0.0,7.86,3.93,13.0
Audrey Rogers,2997.0,Pace University Elisabeth Haub School of Law,number,24.0,148.0,142.0,88.0,0.0,0.0,18.5,13.45,0.0
Martin A. Rogoff,6003.0,University of Maine School of Law,number,2.0,230.0,361.0,57.0,0.0,0.0,12.78,11.5,0.0
Amanda M. Rose,2064.0,Vanderbilt University Law School,number,2.0,289.0,205.0,285.0,0.0,0.0,28.9,26.27,0.0
Clifford Rosky,7949.0,"University of Utah, S. J. Quinney College of Law",number,1.0,197.0,226.0,162.0,0.0,0.0,21.89,14.07,11.0
John Rumel,7075.0,University of Idaho College of Law,number,0.0,29.0,54.0,22.0,0.0,0.0,2.64,2.64,4.0
Ronald J. Rychlak,7554.0,University of Mississippi School of Law,number,20.0,440.0,880.0,142.0,0.0,0.0,11.58,9.17,50.0
William M. Sage,1033.0,The University of Texas School of Law,number,3.0,955.0,376.0,415.0,0.0,0.0,23.88,21.7,66.0
Chaim N. Saiman,2047.0,Villanova University Charles Widger School of Law,number,1.0,92.0,49.0,69.0,0.0,0.0,15.33,11.5,5.0
Joseph Sanders,4153.0,University of Houston Law Center,number,47.0,855.0,477.0,264.0,0.0,0.0,20.36,16.76,61.0
Richard S. Saver,7687.0,University of North Carolina School of Law,number,0.0,169.0,106.0,81.0,0.0,0.0,11.27,9.94,14.0
Susan R. Schmeiser,2591.0,University of Connecticut School of Law,number,0.0,41.0,24.0,41.0,0.0,0.0,41.0,13.67,1.0
Elizabeth Scott,7475.0,Columbia Law School,number,37.0,2074.0,1590.0,905.0,0.0,0.0,74.07,56.05,71.0
Ryan W. Scott,9197.0,Indiana University Maurer School of Law,number,22.0,225.0,177.0,213.0,0.0,0.0,22.5,16.07,15.0
Rebecca J. Scott,248.0,The University of Michigan Law School,number,0.0,31.0,154.0,30.0,0.0,0.0,5.17,4.43,0.0
Bradley Scott Shannon,3004.0,Florida Coastal School of Law,number,48.0,132.0,274.0,98.0,0.0,0.0,8.25,8.25,0.0
Joan M. Shaughnessy,6821.0,Washington and Lee University School of Law,number,1.0,20.0,54.0,13.0,0.0,0.0,5.0,2.5,1.0
George Shepherd,2123.0,Emory University School of Law,number,24.0,582.0,435.0,347.0,0.0,0.0,30.63,30.63,15.0
Peter Siegelman,3998.0,University of Connecticut School of Law,number,27.0,1049.0,414.0,508.0,0.0,0.0,41.96,36.17,20.0
John A. Siliciano,6711.0,Cornell Law School,number,12.0,325.0,43.0,37.0,0.0,0.0,54.17,40.62,0.0
Daniel Simmons,8319.0,"University of California, Davis, School of Law",number,7.0,169.0,140.0,71.0,0.0,0.0,15.1,13.0,0.0
Robert H. Sitkoff,8221.0,Harvard Law School,number,27.0,751.0,519.0,567.0,0.0,0.0,44.18,35.76,46.0
Daniel J. Solove,7200.0,The George Washington University Law School,number,45.0,3091.0,4657.0,2373.0,0.0,0.0,123.64,96.59,64.0
Sarah Song,2781.0,"University of California, Berkeley School of Law",number,0.0,3.0,60.0,3.0,0.0,0.0,3.0,1.0,0.0
Carol S. Steiker,3089.0,Harvard Law School,number,34.0,1838.0,2635.0,967.0,0.0,0.0,48.37,31.15,0.0
John F. Stinneford,5747.0,University of Florida Fredric G. Levin College of Law,number,12.0,295.0,292.0,288.0,0.0,0.0,36.88,29.5,22.0
Irwin P. Stotzky,2679.0,University of Miami School of Law,number,1.0,104.0,95.0,23.0,0.0,0.0,7.43,4.95,9.0
Joseph B. Stulberg,6271.0,"The Ohio State University, Michael E. Moritz College of Law",number,1.0,406.0,408.0,105.0,0.0,0.0,15.62,11.94,11.0
William M. Tabb,6347.0,University of Oklahoma College of Law,number,2.0,43.0,38.0,9.0,0.0,0.0,5.38,4.78,0.0
Joseph T. Thai,6592.0,University of Oklahoma College of Law,number,0.0,80.0,91.0,65.0,0.0,0.0,11.43,10.0,2.0
David Thronson,3905.0,Michigan State University College of Law,number,5.0,375.0,389.0,271.0,0.0,0.0,25.0,22.06,24.0
Grace Tonner,2310.0,"University of California, Irvine School of Law",number,0.0,20.0,5.0,6.0,0.0,0.0,10.0,10.0,0.0
Lisa Tripp,7058.0,Atlanta's John Marshall Law School,number,1.0,14.0,28.0,14.0,0.0,0.0,3.5,3.5,0.0
Manuel Utset,9455.0,Florida State University College of Law,number,5.0,271.0,241.0,163.0,0.0,0.0,11.29,10.42,37.0
Frans von der Dunk,948.0,University of Nebraska College of Law,number,0.0,101.0,235.0,60.0,0.0,0.0,9.62,2.8,0.0
Sarah N. Welling,1522.0,University of Kentucky College of Law,number,20.0,242.0,216.0,58.0,0.0,0.0,14.24,12.1,2.0
Keith M. Werhan,6657.0,Tulane University Law School,number,9.0,389.0,148.0,80.0,0.0,0.0,24.31,20.47,11.0
Jay Lawrence Westbrook,8781.0,The University of Texas School of Law,number,145.0,2089.0,1138.0,835.0,0.0,0.0,34.82,30.72,0.0
Michaela White,9618.0,Creighton University School of Law,number,69.0,268.0,49.0,58.0,0.0,0.0,24.36,19.14,0.0
Kelli Alces Williams,8740.0,Florida State University College of Law,number,0.0,178.0,244.0,169.0,0.0,0.0,10.47,9.89,18.0
Arthur E. Jr. Wilmarth,808.0,The George Washington University Law School,number,3.0,789.0,980.0,612.0,0.0,0.0,32.88,27.21,93.0
Ian Wood,4909.0,University of Southern California Gould School of Law,number,0.0,2.0,7.0,1.0,0.0,0.0,0.0,2.0,0.0
Donna Young,4222.0,Albany Law School,number,0.0,98.0,136.0,40.0,0.0,0.0,8.17,7.54,5.0
Edward A. Zelinsky,7529.0,Benjamin N. Cardozo School of Law,number,17.0,1302.0,463.0,544.0,0.0,0.0,21.34,18.6,202.0
Mo Zhang,6871.0,"Temple University, James E. Beasley School of Law",number,0.0,167.0,525.0,132.0,0.0,0.0,10.44,9.82,25.0
Donald Zillman,73.0,University of Maine School of Law,number,11.0,364.0,183.0,64.0,0.0,0.0,8.09,6.07,22.0
Adam Zimmerman,9140.0,"Loyola Law School, Los Angeles",number,10.0,445.0,474.0,443.0,0.0,0.0,31.72,27.12,70.0
Martin H. Belsky,479.0,University of Akron School of Law,number,13.0,204.0,109.0,30.0,0.0,0.0,7.56,6.18,35.0
Margaret A. Dalton,9207.0,University of San Diego School of Law,number,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0
Ronald J. Coffey,3140.0,Case Western Reserve University School of Law,number,23.0,264.0,20.0,12.0,0.0,0.0,52.8,33.0,0.0
Peter Gerhart,7636.0,Case Western Reserve University School of Law,number,6.0,236.0,233.0,55.0,0.0,0.0,13.11,8.14,14.0
Raymond Ku,2864.0,Case Western Reserve University School of Law,number,4.0,252.0,230.0,119.0,0.0,0.0,14.82,14.0,13.0
Michael Risch,4880.0,Villanova University Charles Widger School of Law,number,37.0,689.0,519.0,670.0,0.0,0.0,26.5,23.76,37.0
Robert Strassfeld,6151.0,Case Western Reserve University School of Law,number,3.0,131.0,95.0,45.0,0.0,0.0,11.91,8.19,0.0
Nicholas W. Allard,6018.0,Brooklyn Law School,number,6.0,113.0,109.0,36.0,0.0,0.0,5.38,4.71,5.0
A. Morgan Cloud,8389.0,Emory University School of Law,number,56.0,894.0,299.0,347.0,0.0,0.0,31.93,27.94,39.0
Martha Grace Duncan,8566.0,Emory University School of Law,number,2.0,89.0,94.0,32.0,0.0,0.0,17.8,14.83,3.0
Jorg Fedtke,3477.0,Tulane University Law School,number,0.0,66.0,132.0,40.0,0.0,0.0,11.0,7.33,1.0
Kent Greenfield,8561.0,Boston College Law School,number,4.0,662.0,693.0,358.0,0.0,0.0,25.46,19.47,64.0
R.A. Lenhardt,3108.0,Fordham University School of Law,number,2.0,428.0,504.0,346.0,0.0,0.0,32.92,22.53,0.0
Kevin Noble Maillard,4732.0,Syracuse University College of Law,number,0.0,66.0,179.0,52.0,0.0,0.0,6.6,5.5,6.0
Jennifer Mason McAward,2685.0,Notre Dame Law School,number,7.0,97.0,84.0,96.0,0.0,0.0,10.78,8.08,10.0
Antonio F. Perez,9489.0,"The Catholic University of America, Columbus School of Law",number,0.0,171.0,226.0,52.0,0.0,0.0,7.77,6.11,0.0
R. Anthony Reese,658.0,"University of California, Irvine School of Law",number,5.0,866.0,698.0,502.0,0.0,0.0,41.24,32.07,29.0
J.B. Ruhl,7917.0,Vanderbilt University Law School,number,14.0,2821.0,2342.0,1700.0,0.0,0.0,26.12,20.59,0.0
Jonathan Simon,9138.0,"University of California, Berkeley School of Law",number,2.0,655.0,3070.0,336.0,0.0,0.0,19.85,9.92,47.0
Kathryn Watts,4393.0,University of Washington School of Law,number,11.0,611.0,306.0,528.0,0.0,0.0,43.64,22.63,0.0
Dana Brakman Reiser,6221.0,Brooklyn Law School,number,1.0,524.0,873.0,447.0,0.0,0.0,24.95,21.83,52.0
Michael R. Devitt,4897.0,University of San Diego School of Law,number,0.0,3.0,4.0,3.0,0.0,0.0,3.0,3.0,0.0
Robert L. Flores,9383.0,"University of Utah, S. J. Quinney College of Law",number,2.0,16.0,7.0,3.0,0.0,0.0,5.33,5.33,1.0
Carlos E. Gonzalez,6933.0,Rutgers Law School,number,0.0,156.0,99.0,74.0,0.0,0.0,9.75,6.5,6.0
D. Carolina Nunez,8969.0,"Brigham Young University, J. Reuben Clark Law School",number,0.0,54.0,113.0,53.0,0.0,0.0,8.17,4.9,0.0
Kevin V. Tu,7177.0,University of Maryland Francis King Carey School of Law,number,3.0,95.0,686.0,95.0,0.0,0.0,13.57,11.88,5.0
Aaron D.  Twerski,4988.0,Brooklyn Law School,number,270.0,2856.0,574.0,490.0,0.0,0.0,39.12,32.83,236.0
Patricia A. Wilson,1345.0,Baylor University School of Law,number,4.0,18.0,19.0,12.0,0.0,0.0,4.5,2.57,0.0
Richard A. Schneider,7078.0,Wake Forest University School of Law,number,0.0,6.0,2.0,1.0,0.0,0.0,6.0,0.86,0.0
Dick Schneider,7078.0,Wake Forest University School of Law,number,0.0,18.0,23.0,1.0,0.0,0.0,9.0,4.5,1.0
Stefan Krieger,3264.0,Hofstra University,number,25.0,199.0,181.0,114.0,0.0,0.0,15.31,11.71,18.0
Julian Ku,6164.0,Hofstra University,number,3.0,696.0,758.0,453.0,0.0,0.0,25.78,17.85,49.0
Susan Estrich,6689.0,University of Southern California Gould School of Law,number,58.0,1057.0,250.0,195.0,0.0,0.0,151.0,105.7,1.0
David Yamada,5735.0,Suffolk University Law School,number,8.0,406.0,648.0,277.0,0.0,0.0,29.0,20.3,46.0
Kathryn L. Mercer,4817.0,Case Western Reserve University School of Law,number,0.0,16.0,22.0,7.0,0.0,0.0,8.0,5.33,0.0
Justin Desautels-Stein,6397.0,University of Colorado Law School,number,0.0,80.0,219.0,79.0,0.0,0.0,5.71,4.21,0.0
Ben W. F. Depoorter,4326.0,University of California Hastings,number,2.0,377.0,752.0,340.0,0.0,0.0,14.5,12.16,0.0
Gabriel J. Chin,8434.0,University of California Davis,number,107.0,1974.0,2942.0,1238.0,0.0,0.0,24.68,18.8,137.0
Peter J. Spiro,2769.0,"Temple University, James E. Beasley School of Law",number,5.0,1483.0,1131.0,585.0,0.0,0.0,36.17,23.54,84.0
Akilah N. Folami,9406.0,Hofstra University,number,1.0,42.0,34.0,41.0,0.0,0.0,8.4,8.4,10.0
Allen R. Snyder,3537.0,University of San Diego School of Law,number,0.0,5.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0
J. Shahar Dillbary,3313.0,University of Alabama School of Law,number,2.0,78.0,291.0,73.0,0.0,0.0,7.8,7.8,8.0
Shahar J. Dilbary,3313.0,University of Alabama School of Law,number,2.0,78.0,291.0,73.0,0.0,0.0,7.8,7.8,8.0
