Person,ID,School,Cited by Cases,Cited by Articles,Accessed (Past 12 Months),Cited by Articles (Past 10 Years),Cited by Articles (Past 1-2 years),ScholarCheck Rank,Average Citations per Article,Average Citations per Document,Self-Citations,Type
Kalyani Robbins,972,University of Akron,0.0,97.0,196.0,68.0,5.0,0.0,8.08,6.06,6.0,
Troy A. Rule,1663,University of Missouri,0.0,173.0,279.0,165.0,26.0,0.0,17.3,13.31,0.0,
Gregory Shaffer,7154,"University of Minnesota, Twin Cities",0.0,529.0,1250.0,424.0,71.0,0.0,13.56,9.8,0.0,
David A. Sklansky,9155,"University of California, Berkeley",46.0,1466.0,1149.0,972.0,133.0,0.0,52.36,43.12,0.0,
A. Benjamin Spencer,9686,Washington & Lee University,20.0,762.0,250.0,729.0,61.0,0.0,38.1,36.29,23.0,
Paul J. Stancil,3417,University of Illinois,0.0,104.0,125.0,99.0,15.0,0.0,11.56,11.56,0.0,
Adam N. Steinman,7683,Seton Hall University,15.0,513.0,633.0,462.0,65.0,0.0,23.32,18.32,0.0,
Kristen A. Stilt,1385,Northwestern University,0.0,72.0,109.0,41.0,0.0,0.0,22.27,22.27,0.0,
David M. Studdert,5840,University of Melbourne,1.0,255.0,221.0,123.0,10.0,0.0,12.75,11.09,0.0,
Eric L. Talley,6964,"University of California, Berkeley",8.0,934.0,414.0,421.0,43.0,0.0,67.34,53.52,0.0,
Christopher Tomlins,2329,"University of California, Irvine",0.0,137.0,347.0,88.0,13.0,0.0,6.23,2.11,0.0,
Gerald Torres,5946,"University of Texas, Austin",2.0,729.0,554.0,220.0,28.0,0.0,23.52,15.85,0.0,
Deborah Tuerkheimer,6165,DePaul University,26.0,393.0,1020.0,333.0,49.0,0.0,17.86,14.56,0.0,
Kenneth Ayotte,4263,Northwestern University,1.0,235.0,344.0,212.0,31.0,0.0,21.36,19.58,0.0,
Teri Dobbins Baxter,852,Saint Louis University,0.0,66.0,149.0,53.0,10.0,0.0,6.6,6.6,0.0,
Andrea K. Bjorklund,8972,"University of California, Davis",3.0,167.0,406.0,111.0,12.0,0.0,11.93,8.79,0.0,
Karen C. Burke,4979,University of San Diego,4.0,296.0,185.0,149.0,20.0,0.0,10.57,8.71,0.0,
Lan Cao,5159,College of William and Mary,3.0,248.0,223.0,71.0,2.0,0.0,15.5,12.4,0.0,
June Carbone,2160,"University of Missouri, Kansas City",24.0,1072.0,1065.0,570.0,79.0,0.0,18.17,14.11,0.0,
Paul L. Caron,2664,University of Cincinnati,4.0,525.0,742.0,259.0,25.0,0.0,22.83,18.75,0.0,
Jim Chen,1126,University of Louisville,6.0,1472.0,613.0,361.0,22.0,0.0,27.26,17.95,0.0,
Eric A. Chiappinelli,6750,Creighton Universitiy,4.0,62.0,92.0,24.0,4.0,0.0,5.17,3.65,0.0,
Luis Chiesa,4098,Pace University,1.0,66.0,359.0,65.0,13.0,0.0,4.12,3.3,6.0,
Christine N. Cimini,1640,University of Denver Sturm College of Law,1.0,89.0,71.0,54.0,7.0,0.0,12.71,9.89,0.0,
Evan J. Criddle,3878,Syracuse University,9.0,518.0,625.0,484.0,47.0,0.0,25.9,22.52,0.0,
Jason J. Czarnezki,2226,Vermont Law School,23.0,286.0,448.0,229.0,26.0,0.0,13.62,11.0,20.0,
Steven M. Davidoff,9500,Ohio State University,16.0,418.0,617.0,395.0,29.0,0.0,25.89,24.68,0.0,
RIchard Delgado,4489,Seattle University,64.0,17400.0,10368.0,3530.0,340.0,0.0,128.88,8744.16,1255.0,
Miranda Perry Fleischer,4193,"University of Colorado, Boulder",0.0,147.0,161.0,146.0,5.0,0.0,18.38,16.33,0.0,
Jeanne C. Fromer,5827,Fordham University,7.0,736.0,857.0,731.0,110.0,0.0,35.05,33.45,0.0,
James Grimmelmann,699,New York Law School,8.0,512.0,1172.0,467.0,53.0,0.0,20.48,11.91,29.0,
Lenese C. Herbert,9970,Albany Law School,0.0,78.0,88.0,48.0,3.0,0.0,14.66,11.83,0.0,
Adam J. Hirsch,2172,Florida State University,27.0,858.0,401.0,489.0,76.0,0.0,31.78,29.59,0.0,
Darren Lenard Hutchinson,6660,American University,2.0,906.0,955.0,442.0,68.0,0.0,45.3,39.39,69.0,
Lucy A. Jewel,9980,John Marshall Law School (Atlanta) ,8.0,138.0,278.0,138.0,22.0,0.0,9.2,8.12,0.0,
Emily Kadens,6461,"University of Texas, Austin",1.0,123.0,317.0,106.0,17.0,0.0,15.38,11.18,0.0,
Alberto Lopez,5634,University of Richmond,6.0,181.0,190.0,106.0,8.0,0.0,15.08,13.92,0.0,
Ruth Mason,1538,University of Connecticut,3.0,245.0,341.0,223.0,26.0,0.0,14.41,11.67,0.0,
Lesley K. McAllister,846,University of San Diego,1.0,189.0,226.0,182.0,24.0,0.0,12.6,11.12,0.0,
Grayson M-P McCouch,4922,University of San Diego,2.0,222.0,118.0,120.0,18.0,0.0,11.68,9.65,0.0,
Mathew D. McCubbins,2556,University of Southern California,0.0,594.0,366.0,320.0,26.0,0.0,28.29,25.83,0.0,
Bernadette Meyler,6239,Cornell University,5.0,199.0,195.0,169.0,13.0,0.0,14.21,11.06,0.0,
Darrell A. H. Miller,2856,University of Cincinnati,14.0,283.0,539.0,281.0,33.0,0.0,20.21,13.48,0.0,
Susan Cleary Morse,5913,"University of California, Hastings",0.0,198.0,382.0,189.0,24.0,0.0,38.85,34.89,0.0,
James Park,3273,Brooklyn Law School,9.0,240.0,311.0,206.0,23.0,0.0,12.63,10.43,15.0,
Frank Pasquale,7891,Seton Hall University,7.0,711.0,2478.0,639.0,116.0,0.0,21.55,14.22,0.0,
Eduardo M. Penalver,32,Cornell University,2.0,52.0,28.0,31.0,2.0,0.0,2.6,1.44,0.0,
Nathaniel Persily,8400,Columbia University,47.0,872.0,918.0,574.0,53.0,0.0,31.14,22.95,0.0,
Ellen Smith Pryor,8905,Southern Methodist University,29.0,343.0,210.0,116.0,11.0,0.0,15.59,13.19,0.0,
Cristina M. Rodriguez,8064,New York University,12.0,912.0,669.0,822.0,88.0,0.0,43.43,38.0,0.0,
Benjamin van Rooij,3915,University of Amsterdam,0.0,23.0,180.0,21.0,1.0,0.0,1.44,1.92,0.0,
Christopher Serkin,1098,Brooklyn Law School,13.0,508.0,442.0,403.0,53.0,0.0,21.17,17.52,93.0,
Darien Shanske,7109,"University of California, Hastings",1.0,144.0,278.0,142.0,26.0,0.0,7.2,6.26,0.0,
Matthew L. Spitzer,6162,"University of Texas, Austin",8.0,1246.0,467.0,202.0,20.0,0.0,34.61,27.69,0.0,
Christopher Sprigman,880,University of Virginia,0.0,37.0,11.0,11.0,0.0,0.0,2.18,1.06,0.0,
Jean Stefancic,2088,Seattle University,2.0,1241.0,1677.0,271.0,39.0,0.0,33.54,23.42,0.0,
Peter P. Swire,7643,Ohio State University,4.0,794.0,1214.0,347.0,41.0,0.0,48.24,33.11,0.0,
Robin Fretwell Wilson,5837,Washington & Lee University,18.0,542.0,799.0,443.0,33.0,0.0,13.55,11.29,66.0,
Matthew D. Adler,9272,University of Pennsylvania,4.0,1526.0,609.0,603.0,59.0,0.0,46.24,34.68,0.0,
Karima Bennoune,5425,Rutgers University at Newark,1.0,115.0,473.0,83.0,2.0,0.0,7.19,5.23,0.0,
Anu Bradford,7911,University of Chicago,0.0,192.0,571.0,166.0,22.0,0.0,12.0,11.29,0.0,
Tomiko Brown-Nagin,6713,University of Virginia,0.0,265.0,306.0,155.0,15.0,0.0,22.08,15.59,0.0,
Paul Butler,7162,George Washington University,9.0,981.0,1817.0,464.0,85.0,0.0,42.65,37.73,18.0,
Allison Christians,8088,University of Wisconsin at Madison,1.0,200.0,739.0,170.0,27.0,0.0,9.52,8.33,29.0,
Barry Cushman,5281,University of Virginia,1.0,509.0,341.0,219.0,26.0,0.0,16.97,15.42,0.0,
Scott Dodson,4153,College of William & Mary,25.0,600.0,708.0,538.0,103.0,0.0,13.33,11.32,70.0,
Mary L. Dudziak,8185,University of Southern California,1.0,524.0,414.0,161.0,16.0,0.0,37.43,22.78,0.0,
Nita A. Farahany,1297,Vanderbilt University,1.0,94.0,160.0,86.0,10.0,0.0,18.8,15.67,0.0,
Bryant G. Garth,2605,Southwestern Law School,7.0,1101.0,942.0,427.0,39.0,0.0,49.63,29.18,0.0,
James Thuo Gathii,5347,Albany Law School,2.0,694.0,1519.0,360.0,35.0,0.0,12.85,8.78,0.0,
Adam M. Gershowitz,1244,University of Houston,19.0,516.0,604.0,462.0,50.0,0.0,22.43,19.11,0.0,
Leslie Griffin,4754,University of Houston,0.0,94.0,57.0,32.0,0.0,0.0,8.55,7.23,0.0,
Deborah Hellman,4257,University of Maryland,2.0,386.0,436.0,216.0,26.0,0.0,21.44,16.78,0.0,
Jennifer S. Hendricks,586,University of Tennessee,0.0,113.0,272.0,103.0,15.0,0.0,6.65,6.28,15.0,
Jill R. Horwitz,7499,University of Michigan,0.0,122.0,88.0,95.0,2.0,0.0,20.33,13.56,0.0,
Shi-Ling Hsu,5670,University of British Columbia,1.0,291.0,415.0,177.0,13.0,0.0,10.39,8.82,0.0,
Jody Kraus,1100,University of Pennsylvania,1.0,400.0,275.0,238.0,22.0,0.0,36.36,28.57,0.0,
Francine J. Lipman,8223,Chapman University,2.0,181.0,324.0,133.0,11.0,0.0,9.14,6.26,0.0,
Jonathan C. Lipson,8230,"University of Wisconsin, Madison",24.0,416.0,545.0,290.0,48.0,0.0,13.87,12.61,65.0,
Jacqueline Lipton,7072,Case Western Reserve University,0.0,174.0,308.0,69.0,4.0,0.0,11.6,9.67,0.0,
Thomas O. Main,5728,"McGeorge School of Law, University of the Pacific",9.0,355.0,307.0,277.0,56.0,0.0,25.53,22.76,0.0,
Calvin Massey,4588,"University of California, Hastings",14.0,466.0,200.0,268.0,13.0,0.0,19.42,17.92,0.0,
Jason Mazzone,3833,Brooklyn Law School,17.0,532.0,487.0,403.0,42.0,0.0,17.16,15.2,0.0,
Robert Miller,1459,Villanova University,2.0,23.0,33.0,6.0,3.0,0.0,0.96,0.62,0.0,
Edward R. Morrison,2532,Columbia University,5.0,367.0,352.0,302.0,30.0,0.0,24.47,21.59,0.0,
Victoria Nourse,9064,"University of Wisconsin, Madison",13.0,1138.0,1247.0,733.0,108.0,0.0,37.93,29.95,10.0,
Rafael I. Pardo,9014,University of Washington at Seattle,26.0,272.0,347.0,260.0,27.0,0.0,14.26,14.76,0.0,
Edward Parson,3957,University of Michigan,0.0,81.0,101.0,55.0,8.0,0.0,16.2,11.57,0.0,
H. Jefferson Powell,1038,George Washington University,11.0,2157.0,396.0,541.0,41.0,0.0,74.38,46.89,0.0,
L. Song Richardson,2780,American University,3.0,417.0,1305.0,416.0,102.0,0.0,27.8,21.95,0.0,
Dorothy E. Roberts,2123,Northwestern University,0.0,63.0,149.0,40.0,3.0,0.0,1.29,0.95,81.0,
Jim Rossi,13,Florida State University,22.0,1505.0,1140.0,916.0,111.0,0.0,29.51,24.27,112.0,
Adam M. Samaha,7437,University of Chicago,9.0,469.0,358.0,433.0,69.0,0.0,18.04,17.37,0.0,
Lynn A. Stout,8860,University of California at Los Angeles,3.0,166.0,323.0,162.0,29.0,0.0,4.26,3.53,136.0,
Alan O. Sykes,8479,Stanford University,0.0,24.0,27.0,10.0,0.0,0.0,12.0,0.34,0.0,
Andrew Taslitz,6176,Howard University,0.0,30.0,9.0,22.0,1.0,0.0,15.0,6.0,0.0,
Amanda L. Tyler,6066,George Washington University,5.0,248.0,252.0,203.0,27.0,0.0,27.56,22.55,0.0,
Katharine Van Tassel,4704,St. Thomas University (Florida) ,4.0,77.0,109.0,66.0,7.0,0.0,7.7,7.7,1.0,
Gideon Yaffe,555,University of Southern California,0.0,40.0,148.0,32.0,5.0,0.0,3.08,2.86,0.0,
Sandra B. Zellmer,7177,"University of Nebraska, Lincoln",2.0,397.0,228.0,274.0,19.0,0.0,29.7,28.58,0.0,
Stephen I. Vladeck,4898,American University,8.0,793.0,821.0,689.0,69.0,0.0,16.18,11.17,0.0,
Hilary J. Allen,832,Suffolk University,0.0,71.0,368.0,71.0,24.0,0.0,7.1,7.1,0.0,
Dalie Jimenez,217,University of Connecticut,2.0,71.0,215.0,71.0,29.0,0.0,10.14,8.88,0.0,
Stephen Clowney,5526,University of Kentucky,0.0,110.0,231.0,102.0,10.0,0.0,12.22,9.17,0.0,
Julie Andersen Hill,4267,University of Houston,0.0,84.0,245.0,77.0,13.0,0.0,10.5,7.0,0.0,
Charles Brower,865,University of Mississippi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Andrew C. W. Lund,1140,Pace University,2.0,75.0,131.0,70.0,7.0,0.0,7.5,6.82,12.0,
Kenneth W. Simons,8367,Boston University,15.0,961.0,801.0,392.0,53.0,0.0,27.46,22.35,84.0,
Dana A. Remus,9387,University of New Hampshire,0.0,70.0,129.0,70.0,11.0,0.0,8.75,7.0,0.0,
Richard R. W. Brooks,4088,Columbia University,0.0,109.0,89.0,61.0,0.0,0.0,4.95,3.63,0.0,number
Steve Vladeck,4898,American University,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,number
Steve Vladeck,7246,American University,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,number
Richard Delgado,4489,Seattle University,32.0,8700.0,5184.0,1765.0,0.0,0.0,64.44,44.16,1255.0,number
Richard R. W. Brooks,4088,Columbia University,0.0,109.0,89.0,61.0,0.0,0.0,4.95,3.63,0.0,number
Richard Delgado,4489,Seattle University,32.0,8700.0,5184.0,1765.0,0.0,0.0,64.44,44.16,1255.0,number
Richard R. W. Brooks,4088,Columbia University,0.0,109.0,89.0,61.0,0.0,0.0,4.95,3.63,0.0,number
Richard Delgado,4489,Seattle University,32.0,8700.0,5184.0,1765.0,0.0,0.0,64.44,44.16,1255.0,number
Richard R. W. Brooks,4088,Columbia University,0.0,109.0,89.0,61.0,0.0,0.0,4.95,3.63,0.0,number
Richard Delgado,4489,Seattle University,32.0,8700.0,5184.0,1765.0,0.0,0.0,64.44,44.16,1255.0,number
Richard R. W. Brooks,4088,Columbia University,0.0,109.0,89.0,61.0,0.0,0.0,4.95,3.63,0.0,number
Richard R. W. Brooks,4088,Columbia University,0.0,109.0,89.0,61.0,0.0,0.0,4.95,3.63,0.0,number
Richard R. W. Brooks,4088,Columbia University,0.0,109.0,89.0,61.0,0.0,0.0,4.95,3.63,0.0,number
Richard Delgado,4489,Seattle University,32.0,8700.0,5184.0,1765.0,0.0,0.0,64.44,44.16,1255.0,number
Richard R. W. Brooks,4088,Columbia University,0.0,109.0,89.0,61.0,0.0,0.0,4.95,3.63,0.0,number
Richard R. W. Brooks,4088,Columbia University,0.0,109.0,89.0,61.0,0.0,0.0,4.95,3.63,0.0,number
Richard Delgado,4489,Seattle University,32.0,8700.0,5184.0,1765.0,0.0,0.0,64.44,44.16,1255.0,number
Richard R. W. Brooks,4088,Columbia University,0.0,109.0,89.0,61.0,0.0,0.0,4.95,3.63,0.0,number
Richard Delgado,4489,Seattle University,32.0,8700.0,5184.0,1765.0,0.0,0.0,64.44,44.16,1255.0,number
Richard R. W. Brooks,4088,Columbia University,0.0,109.0,89.0,61.0,0.0,0.0,4.95,3.63,0.0,number
Richard Delgado,4489,Seattle University,32.0,8700.0,5184.0,1765.0,0.0,0.0,64.44,44.16,1255.0,number
Richard R. W. Brooks,4088,Columbia University,0.0,109.0,89.0,61.0,0.0,0.0,4.95,3.63,0.0,number
Richard Delgado,4489,Seattle University,32.0,8700.0,5184.0,1765.0,0.0,0.0,64.44,44.16,1255.0,number
Richard R. W. Brooks,4088,Columbia University,0.0,109.0,89.0,61.0,0.0,0.0,4.95,3.63,0.0,number
Richard Delgado,4489,Seattle University,32.0,8700.0,5184.0,1765.0,0.0,0.0,64.44,44.16,1255.0,number
Richard R. W. Brooks,4088,Columbia University,0.0,109.0,89.0,61.0,0.0,0.0,4.95,3.63,0.0,number
Richard Delgado,4489,Seattle University,32.0,8700.0,5184.0,1765.0,0.0,0.0,64.44,44.16,1255.0,number
Richard R. W. Brooks,4088,Columbia University,0.0,109.0,89.0,61.0,0.0,0.0,4.95,3.63,0.0,number
Richard Delgado,4489,Seattle University,32.0,8700.0,5184.0,1765.0,0.0,0.0,64.44,44.16,1255.0,number
Richard R. W. Brooks,4088,Columbia University,0.0,109.0,89.0,61.0,0.0,0.0,4.95,3.63,0.0,number
Richard Delgado,4489,Seattle University,32.0,8700.0,5184.0,1765.0,0.0,0.0,64.44,44.16,1255.0,number
Richard R. W. Brooks,4088,Columbia University,0.0,109.0,89.0,61.0,0.0,0.0,4.95,3.63,0.0,number
Richard Delgado,4489,Seattle University,32.0,8700.0,5184.0,1765.0,0.0,0.0,64.44,44.16,1255.0,number
Richard R. W. Brooks,4088,Columbia University,0.0,109.0,89.0,61.0,0.0,0.0,4.95,3.63,0.0,number
Richard Delgado,4489,Seattle University,32.0,8700.0,5184.0,1765.0,0.0,0.0,64.44,44.16,1255.0,number
Richard R. W. Brooks,4088,Columbia University,0.0,109.0,89.0,61.0,0.0,0.0,4.95,3.63,0.0,number
Richard Delgado,4489,Seattle University,32.0,8700.0,5184.0,1765.0,0.0,0.0,64.44,44.16,1255.0,number
Richard R. W. Brooks,4088,Columbia University,0.0,109.0,89.0,61.0,0.0,0.0,4.95,3.63,0.0,number
Richard R. W. Brooks,4088,Columbia University,0.0,109.0,89.0,61.0,0.0,0.0,4.95,3.63,0.0,number
Richard Delgado,4489,Seattle University,32.0,8700.0,5184.0,1765.0,0.0,0.0,64.44,44.16,1255.0,number
Richard R. W. Brooks,4088,Columbia University,0.0,109.0,89.0,61.0,0.0,0.0,4.95,3.63,0.0,number
Richard R. W. Brooks,4088,Columbia University,0.0,109.0,89.0,61.0,0.0,0.0,4.95,3.63,0.0,number
Richard Delgado,4489,Seattle University,32.0,8700.0,5184.0,1765.0,0.0,0.0,64.44,44.16,1255.0,number
Richard R. W. Brooks,4088,Columbia University,0.0,109.0,89.0,61.0,0.0,0.0,4.95,3.63,0.0,number
Richard Delgado,4489,Seattle University,32.0,8700.0,5184.0,1765.0,0.0,0.0,64.44,44.16,1255.0,number
Richard R. W. Brooks,4088,Columbia University,0.0,109.0,89.0,61.0,0.0,0.0,4.95,3.63,0.0,number
Herbert Hovenkamp,866,University of Iowa,114.0,3849.0,2673.0,1556.0,0.0,0.0,32.34,27.11,392.0,number
Richard R. W. Brooks,4088,Columbia University,2.0,385.0,367.0,235.0,0.0,0.0,17.5,12.83,0.0,number
Richard R. W. Brooks,4088,Columbia University,2.0,385.0,367.0,235.0,0.0,0.0,17.5,12.83,0.0,number
Steven Davidoff Solomon,7669,Ohio State University,12.0,150.0,617.0,149.0,0.0,0.0,13.64,12.5,0.0,number
Victor Fleischer,6793,University of San Diego,3.0,636.0,691.0,521.0,0.0,0.0,39.75,27.65,0.0,number
Andrew S Gold,7402,DePaul University,1.0,16.0,20.0,4.0,0.0,0.0,8.0,5.33,0.0,number
Andrew Gold,7402,DePaul University,1.0,16.0,20.0,4.0,0.0,0.0,8.0,5.33,0.0,number
Richard R. W. Brooks,4088,Columbia University,2.0,385.0,367.0,235.0,0.0,0.0,17.5,12.83,0.0,number
Sam F. Halabi,1585,University of Tulsa,2.0,74.0,392.0,67.0,0.0,0.0,3.22,2.64,0.0,number
Steve Vladeck,4898,American University,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,number
Scott Pryor,3173,Regent University,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,number
Steven Davidoff,7669,Ohio State University,12.0,156.0,632.0,149.0,0.0,0.0,12.0,11.14,0.0,number
Charles Brower,865,University of Mississippi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,number
Stephen Vladeck,4898,American University,8.0,793.0,821.0,689.0,0.0,0.0,16.18,11.17,0.0,number
Andrew Gold,7402,DePaul University,1.0,16.0,20.0,4.0,0.0,0.0,8.0,5.33,0.0,number
Andrew Gold,7402,DePaul University,1.0,16.0,20.0,4.0,0.0,0.0,8.0,5.33,0.0,number
Andrew S. Gold,7402,DePaul University,6.0,420.0,435.0,330.0,0.0,0.0,29.26,23.69,0.0,number
Richard R. W. Brooks,4088,Columbia University,2.0,385.0,367.0,235.0,0.0,0.0,17.5,12.83,0.0,number
RonNell Andersen Jones,94,Brigham Young University,0.0,170.0,312.0,168.0,0.0,0.0,11.33,8.5,0.0,number
Daniel Martin Katz,7119,Michigan State University,0.0,112.0,416.0,109.0,0.0,0.0,18.92,18.92,0.0,number
Richard R. W. Brooks,4088,Columbia University,2.0,385.0,367.0,235.0,0.0,0.0,17.5,12.83,0.0,number
Daniel Martin Katz,7119,Michigan State University,0.0,109.0,406.0,109.0,0.0,0.0,18.17,18.17,0.0,number
Miranda Perry,4193,"University of Colorado, Boulder",2.0,9.0,12.0,1.0,0.0,0.0,0.0,9.0,0.0,number
Thomas Mitchell,2582,"University of Wisconsin, Madison",1.0,126.0,173.0,87.0,0.0,0.0,15.75,15.75,0.0,number
Miranda Perry Fleischer,4193,"University of Colorado, Boulder",0.0,147.0,161.0,146.0,0.0,0.0,18.38,16.33,0.0,number
Steven Davidoff Solomon,7669,Ohio State University,12.0,156.0,632.0,149.0,0.0,0.0,12.0,11.14,0.0,number
Andrew S. Gold,7402,DePaul University,6.0,420.0,435.0,330.0,0.0,0.0,29.26,23.69,0.0,number
Thomas Mitchell,2582,"University of Wisconsin, Madison",1.0,126.0,173.0,87.0,0.0,0.0,15.75,15.75,0.0,number
Daniel Martin Katz,7119,Michigan State University,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,number
Steven Davidoff,7669,Ohio State University,12.0,156.0,632.0,149.0,0.0,0.0,12.0,11.14,0.0,number
Miranda Perry Fleischer,4193,"University of Colorado, Boulder",0.0,147.0,161.0,146.0,0.0,0.0,18.38,16.33,0.0,number
Stephen Vladeck,4898,American University,8.0,793.0,821.0,689.0,0.0,0.0,16.18,11.17,0.0,number
Steven Davidoff Solomon,7669,Ohio State University,12.0,156.0,632.0,149.0,0.0,0.0,12.0,11.14,0.0,number
Miranda Perry,4193,"University of Colorado, Boulder",2.0,9.0,12.0,1.0,0.0,0.0,0.0,9.0,0.0,number
RonNell Andersen Jones,94,Brigham Young University,0.0,170.0,312.0,168.0,0.0,0.0,11.33,8.5,0.0,number
 Timothy D. Lytton,3453,Albany Law School,9.0,278.0,317.0,138.0,0.0,0.0,14.63,10.69,0.0,number
Charles Brower,865,University of Mississippi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,number
Charles H. II Brower,865,University of Mississippi,2.0,360.0,473.0,148.0,0.0,0.0,21.18,15.65,0.0,number
Richard Albert,46,Boston College,1.0,337.0,1164.0,295.0,0.0,0.0,7.66,7.02,57.0,number
William Boyd,301,"University of Colorado, Boulder",1.0,183.0,298.0,145.0,0.0,0.0,14.08,10.76,8.0,number
Eric Talley,1148,"University of California, Berkeley",8.0,934.0,414.0,421.0,0.0,0.0,38.92,31.13,0.0,number
